iter,pi_g,true_pi
1000,0.015264419233979983,0.01
1001,0.018693315575504806,0.01
1002,0.01447354231583109,0.01
1003,0.014299834282963594,0.01
1004,0.014979165179909793,0.01
1005,0.017432191405216332,0.01
1006,0.011207467358348119,0.01
1007,0.020328890387484255,0.01
1008,0.01812904908802852,0.01
1009,0.0139306177994332,0.01
1010,0.019049742118378753,0.01
1011,0.0082646816933268,0.01
1012,0.013964224253342587,0.01
1013,0.012375632858963037,0.01
1014,0.01813517235086056,0.01
1015,0.0155842091353817,0.01
1016,0.013473855089965436,0.01
1017,0.021085025821408133,0.01
1018,0.019396707451677785,0.01
1019,0.015274413796224724,0.01
1020,0.018365980869641738,0.01
1021,0.008054507609624924,0.01
1022,0.01626702313632192,0.01
1023,0.012698068691244907,0.01
1024,0.012466355209898052,0.01
1025,0.009861297655231693,0.01
1026,0.013100417745290206,0.01
1027,0.015035661716459812,0.01
1028,0.022192437863466273,0.01
1029,0.016179887996006476,0.01
1030,0.012321218690601649,0.01
1031,0.017005361456178397,0.01
1032,0.01855104736529465,0.01
1033,0.012670139274795881,0.01
1034,0.012570615106411165,0.01
1035,0.01368242285053183,0.01
1036,0.011487701024492246,0.01
1037,0.01756047701625491,0.01
1038,0.016059507106781123,0.01
1039,0.010543957841275224,0.01
1040,0.027140223296644388,0.01
1041,0.01263990160707216,0.01
1042,0.017147421938773985,0.01
1043,0.01707504380631099,0.01
1044,0.011539622926719478,0.01
1045,0.011209342240428934,0.01
1046,0.019000799126136267,0.01
1047,0.01143350412012431,0.01
1048,0.01386040143797236,0.01
1049,0.012650891812568567,0.01
1050,0.012766586667333654,0.01
1051,0.01753275807144706,0.01
1052,0.018644150628160723,0.01
1053,0.011579214941894591,0.01
1054,0.01674092467195259,0.01
1055,0.015556081018370712,0.01
1056,0.01032239323912265,0.01
1057,0.012029213688091175,0.01
1058,0.011777552805473074,0.01
1059,0.01045398911373422,0.01
1060,0.01580173435275522,0.01
1061,0.016349456759618405,0.01
1062,0.014282976851053572,0.01
1063,0.01372314836823978,0.01
1064,0.012279656357631136,0.01
1065,0.012861544833993698,0.01
1066,0.01130565268551952,0.01
1067,0.013976100441896058,0.01
1068,0.01359113625543524,0.01
1069,0.020684050159953452,0.01
1070,0.01064775353435901,0.01
1071,0.018000734441716643,0.01
1072,0.009617380929080507,0.01
1073,0.013142568327305868,0.01
1074,0.014719522713232121,0.01
1075,0.010323425484166,0.01
1076,0.013199407334291077,0.01
1077,0.01109307430900732,0.01
1078,0.011650679088007525,0.01
1079,0.015528072464065295,0.01
1080,0.005155219563706419,0.01
1081,0.017177376019864358,0.01
1082,0.01279669021532116,0.01
1083,0.012738300350781639,0.01
1084,0.009160025659028117,0.01
1085,0.008748611321052615,0.01
1086,0.013747867073639501,0.01
1087,0.013589025697505886,0.01
1088,0.016143773074001274,0.01
1089,0.00976174083823411,0.01
1090,0.012089180874752865,0.01
1091,0.01579071220712954,0.01
1092,0.01365207756607625,0.01
1093,0.022740057608100134,0.01
1094,0.012421876066236863,0.01
1095,0.011036067466792244,0.01
1096,0.014521399374886647,0.01
1097,0.017187496083176927,0.01
1098,0.00935625166797341,0.01
1099,0.013436999743257653,0.01
1100,0.011930160474262144,0.01
1101,0.010810307465188303,0.01
1102,0.010759222655118219,0.01
1103,0.011180645208675954,0.01
1104,0.01505500114376423,0.01
1105,0.01621400551194641,0.01
1106,0.017081745451041803,0.01
1107,0.014888499118030068,0.01
1108,0.014228634710914595,0.01
1109,0.014799750466052431,0.01
1110,0.009484328467275673,0.01
1111,0.012991978487339257,0.01
1112,0.01940797177618827,0.01
1113,0.011986966027235296,0.01
1114,0.01293330333664997,0.01
1115,0.011289480678305243,0.01
1116,0.017938523174109027,0.01
1117,0.014874522641162662,0.01
1118,0.009718225520719789,0.01
1119,0.017917457279251786,0.01
1120,0.009538440884247842,0.01
1121,0.012066601991919753,0.01
1122,0.013604167514571384,0.01
1123,0.014621855778047081,0.01
1124,0.013254344944953282,0.01
1125,0.010431225153451277,0.01
1126,0.014827301711460197,0.01
1127,0.019075753277169934,0.01
1128,0.011382841023919366,0.01
1129,0.017630887943866625,0.01
1130,0.011178890233239506,0.01
1131,0.01597050436587792,0.01
1132,0.013939300892178165,0.01
1133,0.012813574691927723,0.01
1134,0.019093944350163015,0.01
1135,0.01639025047279284,0.01
1136,0.014720101501789767,0.01
1137,0.01511446509705376,0.01
1138,0.013427509483901914,0.01
1139,0.019665078773611927,0.01
1140,0.012644386119879282,0.01
1141,0.009546208776105377,0.01
