iter,pi
500,0.20939932733592226
501,0.19484551530729932
502,0.19120189599533693
503,0.21493636879215852
504,0.19953899409794065
505,0.20144029625236845
506,0.21914311526661007
507,0.18938328685962624
508,0.18696879027620253
509,0.21327496820908887
510,0.20085362107780458
511,0.2051100435836011
512,0.19527828026735486
513,0.1733359016477108
514,0.23041801762704459
515,0.1949352500087516
516,0.20797247160178442
517,0.19649392384055592
518,0.2103409864462142
519,0.20789774855515447
520,0.22948243448209396
521,0.1932246525388562
522,0.18716351659134695
523,0.19732240625457897
524,0.21601504400869673
525,0.19229173389720597
526,0.2015094531303492
527,0.1990350665233452
528,0.20297378257996063
529,0.18153632878988973
530,0.19457392422370773
531,0.17762735345304068
532,0.2168342825819748
533,0.20827976220083189
534,0.21150446954180033
535,0.18990495800896506
536,0.197835146735354
537,0.2079804311791621
538,0.1877079774232424
539,0.19310820071695706
540,0.19678638942620408
541,0.2024826592918422
542,0.19956682611760798
543,0.1960135487637649
544,0.21664265781150396
545,0.21526985694332398
546,0.16840842691188035
547,0.21280682903398793
548,0.1960568516642245
549,0.18700956635523505
550,0.1872776205691585
551,0.19459121742792912
552,0.1778003251745708
553,0.20831590640538986
554,0.1854418137722556
555,0.19307217127059365
556,0.19161847754656394
557,0.18432072952786555
558,0.1793672826904111
559,0.2062940490058657
560,0.17236146184205792
561,0.19952227819518487
562,0.19181092341559564
563,0.18209640645129832
564,0.19717402152836366
565,0.2144166331029126
566,0.21125137087195311
567,0.19335301393275328
568,0.19356360684679194
569,0.16835964985340265
570,0.18019245683039348
571,0.19891162195641632
572,0.19982390996893243
573,0.21248190176043721
574,0.18726900564890459
575,0.22273596670696527
576,0.21852227569965327
577,0.2066130455741211
578,0.20282431226750347
579,0.21448500990796976
580,0.19660191654822498
581,0.20152821589267172
582,0.18873089786223612
583,0.22235185197905782
584,0.2098016944403496
585,0.20712187672252994
586,0.1953241817466826
587,0.2055686190292424
588,0.202278150785885
589,0.18224278884005174
590,0.20115424774665105
591,0.17208591950794178
592,0.21122992713774946
593,0.21362865094480904
594,0.18037545247598408
595,0.20475306158991058
596,0.18120466282487893
597,0.21281036822926236
598,0.19252263242746465
599,0.20579960543571812
600,0.1754853224161272
601,0.20964560463988774
602,0.2230891853879743
603,0.17895626742653062
604,0.20295107872067783
605,0.19656981410653981
606,0.2144500093871542
607,0.19689110078404282
608,0.20631081619251682
609,0.18100256783642374
610,0.18401501560615544
611,0.21005263170909225
612,0.18494374147981554
613,0.18477116368506863
614,0.18925494266293882
615,0.2019653932361014
616,0.195934594156993
617,0.19856149805331794
618,0.17924916765644058
619,0.1842356112487677
620,0.19486841957297707
