iter,pi_g,true_pi,read_count
1000,0.1537830298207836,0.15,500
1001,0.14822069136256938,0.15,500
1002,0.155416469857585,0.15,500
1003,0.15233398105142776,0.15,500
1004,0.15093907594854977,0.15,500
1005,0.17169282002016645,0.15,500
1006,0.1370596661914299,0.15,500
1007,0.16580627193917974,0.15,500
1008,0.1488704662104136,0.15,500
1009,0.14030670252619218,0.15,500
1010,0.15900098820178798,0.15,500
1011,0.1425144076326509,0.15,500
1012,0.14902775976329408,0.15,500
1013,0.13892545646085044,0.15,500
1014,0.15590370302042766,0.15,500
1015,0.18204562694382004,0.15,500
1016,0.1576186529559022,0.15,500
1017,0.13283107854668608,0.15,500
1018,0.15362200330517045,0.15,500
1019,0.1459714405563014,0.15,500
1020,0.13887421649008838,0.15,500
1021,0.1515517689242829,0.15,500
1022,0.16058399018567177,0.15,500
1023,0.14585035182978284,0.15,500
1024,0.16987897529170232,0.15,500
1025,0.14169020221281659,0.15,500
1026,0.15343613331520348,0.15,500
1027,0.15823237067809337,0.15,500
1028,0.1778451002664023,0.15,500
1029,0.13952695963548714,0.15,500
1030,0.13557507164021532,0.15,500
1031,0.16161852599393614,0.15,500
1032,0.1502700550230301,0.15,500
1033,0.13960331224652606,0.15,500
1034,0.14119657230201668,0.15,500
1035,0.14592444926360024,0.15,500
1036,0.14996512999624667,0.15,500
1037,0.1407931320575862,0.15,500
1038,0.18617449799728253,0.15,500
1039,0.15365551398750718,0.15,500
1040,0.17695606112524423,0.15,500
1041,0.15943018775620924,0.15,500
1042,0.15503965535627676,0.15,500
1043,0.16537216040015296,0.15,500
1044,0.16177832089703864,0.15,500
1045,0.1871792198767046,0.15,500
1046,0.131695559635732,0.15,500
1047,0.1343787122870954,0.15,500
1048,0.12399093837243251,0.15,500
1049,0.14633694800337466,0.15,500
1050,0.12414040217945939,0.15,500
1051,0.14213376828377577,0.15,500
1052,0.15358806642072886,0.15,500
1053,0.13447672785059986,0.15,500
1054,0.15035017709645393,0.15,500
1055,0.13193802517264522,0.15,500
1056,0.15624191913013147,0.15,500
1057,0.15715662685330198,0.15,500
1058,0.16289416582089772,0.15,500
1059,0.15811239165446989,0.15,500
1060,0.16047836435770566,0.15,500
1061,0.10776732415608262,0.15,500
1062,0.1311323446016962,0.15,500
1063,0.1391069175059656,0.15,500
1064,0.15879601773617844,0.15,500
1065,0.14920973139767055,0.15,500
1066,0.12083436326194413,0.15,500
1067,0.14092754600027396,0.15,500
1068,0.1586400094418244,0.15,500
1069,0.1721288555589761,0.15,500
1070,0.1465168124731587,0.15,500
1071,0.14030184168067983,0.15,500
1072,0.16647216714639643,0.15,500
1073,0.14860770561982548,0.15,500
1074,0.13085792393682621,0.15,500
1075,0.1405649999740616,0.15,500
1076,0.15508682647297087,0.15,500
1077,0.134936383151515,0.15,500
1078,0.14289214623246876,0.15,500
1079,0.17074835821205983,0.15,500
1080,0.15915581270860804,0.15,500
1081,0.15348456660302687,0.15,500
1082,0.16234800573454583,0.15,500
1083,0.12628222291796307,0.15,500
1084,0.14859564804480935,0.15,500
1085,0.1615881772743539,0.15,500
1086,0.1343878829949447,0.15,500
1087,0.1474570126186181,0.15,500
1088,0.14190399858766511,0.15,500
1089,0.15137634276379372,0.15,500
1090,0.14992480928161595,0.15,500
1091,0.13855389145686278,0.15,500
1092,0.14177969128849055,0.15,500
1093,0.16699619923674167,0.15,500
1094,0.13167876064657771,0.15,500
1095,0.14276101958434317,0.15,500
1096,0.12726066943024553,0.15,500
1097,0.16120100263864587,0.15,500
1098,0.12325870346108321,0.15,500
1099,0.13981854278330513,0.15,500
1100,0.14242635248547103,0.15,500
1101,0.14677992880858617,0.15,500
1102,0.12150685593864971,0.15,500
1103,0.14469831272550668,0.15,500
1104,0.14899719911337014,0.15,500
1105,0.12680771218818632,0.15,500
1106,0.12509595250286243,0.15,500
1107,0.161318904346074,0.15,500
1108,0.13091906303564374,0.15,500
1109,0.14845715626452183,0.15,500
1110,0.1361231397669962,0.15,500
1111,0.15374360095269587,0.15,500
1112,0.1661210676862381,0.15,500
1113,0.12866782355445525,0.15,500
1114,0.15339086363040308,0.15,500
1115,0.1534526541996382,0.15,500
1116,0.12494001257331588,0.15,500
1117,0.13846767154334283,0.15,500
1118,0.11669841641921641,0.15,500
1119,0.14331378784670065,0.15,500
1120,0.1358529549266478,0.15,500
1121,0.14250649183531816,0.15,500
1122,0.13199893863766182,0.15,500
1123,0.13230105776262838,0.15,500
1124,0.14993049080922252,0.15,500
1125,0.13263167476385243,0.15,500
1126,0.11621065091474331,0.15,500
1127,0.14917360391705492,0.15,500
1128,0.15279626233632912,0.15,500
1129,0.1438722628507188,0.15,500
1130,0.11865989101223193,0.15,500
1131,0.11135425021780289,0.15,500
1132,0.12849505756390375,0.15,500
1133,0.14381092446092167,0.15,500
1134,0.16069414378883415,0.15,500
1135,0.13578214674464595,0.15,500
1136,0.13888619145331985,0.15,500
1137,0.10794164375073452,0.15,500
1138,0.15153295550249118,0.15,500
1139,0.133399502225373,0.15,500
1140,0.14190514619282305,0.15,500
1141,0.14616635303768374,0.15,500
1142,0.13874953122992825,0.15,500
1143,0.11930897036561691,0.15,500
1144,0.16651195124722917,0.15,500
1145,0.11818237314946806,0.15,500
