iter,pi_g,true_pi
1000,8.211204872020258e-4,0.001
1001,0.001917958119960958,0.001
1002,4.581895526416165e-4,0.001
1003,0.0011780106978427649,0.001
1004,6.54333053696929e-4,0.001
1005,6.108646602318224e-4,0.001
1006,2.680138183220533e-4,0.001
1007,4.501639914328281e-4,0.001
1008,6.564839858707454e-4,0.001
1009,4.8580507037282873e-4,0.001
1010,8.491435594073334e-4,0.001
1011,2.994754013117663e-4,0.001
1012,0.0012089942182508442,0.001
1013,0.0012270957844732302,0.001
1014,5.214134667164833e-4,0.001
1015,7.001082553631983e-4,0.001
1016,4.884756275019686e-4,0.001
1017,1.6346251899859227e-4,0.001
1018,7.222268768700513e-4,0.001
1019,9.682416036979865e-4,0.001
1020,0.001319424571470071,0.001
1021,9.428398680362534e-4,0.001
1022,6.697209171631086e-4,0.001
1023,4.0843393884224227e-4,0.001
1024,8.655430188027167e-4,0.001
1025,5.558081119344181e-4,0.001
1026,0.0010678336906925505,0.001
1027,4.0481913930374817e-4,0.001
1028,8.767650095592999e-4,0.001
1029,7.937033410926206e-4,0.001
1030,4.4469602792757086e-4,0.001
1031,0.0015777238464282088,0.001
1032,6.563015328092693e-4,0.001
1033,0.001189518028644561,0.001
1034,0.0017436383334057468,0.001
1035,7.836129275424043e-4,0.001
1036,7.654460389381155e-4,0.001
1037,9.770708190177959e-4,0.001
1038,9.212357441214413e-4,0.001
1039,8.811322068909414e-4,0.001
1040,4.203568378015711e-4,0.001
1041,9.38175964538284e-4,0.001
1042,3.172677979735471e-4,0.001
1043,3.3587963416774975e-4,0.001
1044,7.647874512102875e-4,0.001
1045,9.926486573547993e-4,0.001
1046,5.341491425019837e-4,0.001
1047,6.145457266752613e-4,0.001
1048,5.2679750513764e-4,0.001
1049,9.171549511591177e-4,0.001
1050,6.162051326624501e-4,0.001
1051,3.559011426662096e-4,0.001
1052,0.0010135255882437813,0.001
1053,4.760512258084263e-4,0.001
1054,4.817312500248795e-4,0.001
1055,7.279266154498887e-4,0.001
1056,5.092438730803988e-4,0.001
1057,0.0013244848346740295,0.001
1058,7.107938362989494e-4,0.001
1059,2.659639022997519e-4,0.001
1060,0.0014206929450508573,0.001
1061,9.878507422486074e-4,0.001
1062,3.0320865026443487e-4,0.001
1063,0.0016020500575893513,0.001
1064,4.624801268260021e-4,0.001
1065,5.456521735091523e-4,0.001
1066,5.131942225145477e-4,0.001
1067,0.0012115808967008248,0.001
1068,8.736384822001515e-4,0.001
1069,0.0011502707646462945,0.001
1070,4.5707845060191985e-4,0.001
1071,3.1889369761141384e-4,0.001
1072,4.8390395523936243e-4,0.001
1073,8.972441475383641e-4,0.001
1074,4.301443114224142e-4,0.001
1075,0.0012768453627265512,0.001
1076,2.3547758045842408e-4,0.001
1077,0.001407780121828347,0.001
1078,2.4374099961969376e-4,0.001
1079,9.039448934505531e-4,0.001
1080,0.0012742683435405678,0.001
1081,7.169409622605196e-4,0.001
1082,8.773272545346703e-4,0.001
1083,4.317562471325115e-4,0.001
1084,0.0011242209903968455,0.001
1085,7.055540777369381e-4,0.001
1086,6.581715440128784e-4,0.001
1087,0.00070639293397299695,0.001
1088,5.638339665153875e-4,0.001
1089,4.405214547514106e-4,0.001
1090,3.6604031033820786e-4,0.001
1091,0.001325681662808783,0.001
1092,7.755925875926515e-4,0.001
1093,0.001672716783225855,0.001
1094,2.844349525884623e-4,0.001
1095,5.439422143800911e-4,0.001
1096,9.033883565750599e-4,0.001
1097,5.9132392691492e-4,0.001
1098,3.696550438599718e-4,0.001
1099,3.857075969339312e-4,0.001
1100,2.53170030385841e-4,0.001
