iter,f_old,f_new
500,8.832283033077212e-5,0.2008585124079604
501,9.485036416711823e-5,0.19938491736854502
502,7.947713001405838e-5,0.20113825069590566
503,9.460293142112995e-5,0.19990296185556322
504,1.2067187221324252e-4,0.19993348377632303
505,9.206709764054194e-5,0.20009149134940105
506,9.980395835129546e-5,0.1997167512626638
507,1.0392022800716186e-4,0.1995405255851707
508,8.889464675440373e-5,0.19928646813524417
509,8.852931741915138e-5,0.19885811721282162
510,9.560314577220911e-5,0.20112275101122778
511,7.77263002860683e-5,0.1970174429004578
512,9.274854091963469e-5,0.19857704664725498
513,1.0517563943030502e-4,0.1997691198241831
514,1.0056485840694891e-4,0.20018420416655672
515,9.187365396959445e-5,0.202225272328442
516,9.522048899336999e-5,0.20037915246431803
517,8.911351275860601e-5,0.20041324621158427
518,9.510758611187214e-5,0.19922174158857503
519,9.55844948229812e-5,0.20234241106411766
520,9.679538535136677e-5,0.20096163502546857
521,9.227816880638323e-5,0.19888750046667109
522,9.228487683248688e-5,0.1991767558780788
523,9.907360698635292e-5,0.2006880064220413
524,1.0363579554651475e-4,0.19955804940419078
525,8.740573215844132e-5,0.1979475669064255
526,9.232649505539981e-5,0.19889802574790957
527,9.280426297975493e-5,0.1973454531688164
528,9.556766333794893e-5,0.19918314813443577
529,1.0148702461164143e-4,0.20225514077570345
530,8.833983096926731e-5,0.20003054508487494
531,1.0169195641788616e-4,0.20122351919217316
532,9.649592530574808e-5,0.19951408513342545
533,1.0451366785166447e-4,0.1992747733699649
534,9.287218786087268e-5,0.20005568677586416
535,9.23612351609619e-5,0.20096894854699238
536,8.103752570822834e-5,0.2013981563898627
537,8.279505192054933e-5,0.1982530093315331
538,9.198528441325925e-5,0.19738884665340292
539,9.982736239682723e-5,0.20125719851328414
540,1.064151322370152e-4,0.19993378789692087
541,8.657947975648999e-5,0.1977937322611183
542,8.299992297838655e-5,0.1998040119677478
543,9.490230797348025e-5,0.2002495792870447
544,9.305453029238105e-5,0.1994018408674756
545,9.283776305913402e-5,0.2003041596743969
546,1.0025426553502532e-4,0.2015768286066906
547,8.629159732976424e-5,0.2009089886371105
548,9.287784978845683e-5,0.19869993594738214
549,1.110146958631972e-4,0.19892072684466616
550,8.617329350388904e-5,0.19904775567295285
551,9.371787045761798e-5,0.20287440461433767
552,9.257613367491564e-5,0.19852664075956378
553,9.018478902837438e-5,0.2004868458792231
554,1.021326050172421e-4,0.19943409831379952
555,9.604357824814898e-5,0.19865237013850776
556,1.1172368288139758e-4,0.1998090591027393
557,1.0083155929286259e-4,0.20042280527100098
558,8.991593662703626e-5,0.20097091110178636
559,8.229013408219557e-5,0.1985037971731216
560,9.491205550215543e-5,0.19995286044577917
561,8.188664371901373e-5,0.19993477390913036
562,9.28562393527124e-5,0.19837114115522322
563,1.0335225756644579e-4,0.20167739177719204
564,9.676917700408747e-5,0.19798444865045708
565,9.574497510374673e-5,0.19880115302324033
566,9.4735477798249e-5,0.20074453460403108
567,8.09731607778821e-5,0.19928996850635006
568,7.198869029825751e-5,0.20143654816348128
569,9.24141517268875e-5,0.1990635824763904
570,9.33922949631525e-5,0.1993626579083542
571,1.1187364306076801e-4,0.1998311834626462
572,1.038011672446331e-4,0.202100909256035
573,8.431489005051873e-5,0.19971614044635172
574,8.898671540884386e-5,0.19851385620571338
575,1.0381565678536029e-4,0.2006142970385715
576,1.021299439758558e-4,0.2006211368230054
577,9.523645819688974e-5,0.20269271275738288
578,9.166894502339159e-5,0.1984496748229199
579,1.0019319772870085e-4,0.19997578396090349
580,9.940110550658199e-5,0.20194742298214582
581,1.0706005496585756e-4,0.19863408087745366
582,8.819776888720354e-5,0.19774410030333714
583,9.455701190449125e-5,0.19991423736028602
584,1.0175930220936204e-4,0.20112121779826592
585,9.971915904629829e-5,0.20166201379181833
586,8.808816348035965e-5,0.20099134423258075
587,9.616077102652781e-5,0.19984739618022737
588,1.0673686014893545e-4,0.19844262719103115
589,9.056673834664473e-5,0.20062455967908657
590,9.742588126611718e-5,0.19954438520436468
591,9.127488229958807e-5,0.200650262848726
592,9.177485326712406e-5,0.1978723119445014
593,8.882420594511807e-5,0.20050430895209603
594,8.735913336704201e-5,0.19944959801705506
595,9.126755519776995e-5,0.19899125248833235
