iter,f_old,f_new
1000,3.290546547269928,3.492017274308389
1001,3.290551897272848,3.48962263983237
1002,3.290564683620266,3.4948703032583177
1003,3.2905576884428127,3.4884363915966112
1004,3.290572163424402,3.484554762545591
1005,3.2905659044681457,3.486455354845132
1006,3.2905582667514595,3.487566415946526
1007,3.290556279370417,3.4873110331625914
1008,3.2905566119378817,3.487578545618859
1009,3.290550040420108,3.488138053044998
1010,3.29056875086018,3.4890166434756904
1011,3.2905626358037092,3.489183154818633
1012,3.2905588427974197,3.4874220968852003
1013,3.290557511296016,3.491120910326135
1014,3.2905572012255218,3.4861621310062887
1015,3.2905430090000727,3.4899302555599774
1016,3.2905515427826484,3.487357479332997
1017,3.290559245982532,3.487667520303998
1018,3.290550498334092,3.4881240553487065
1019,3.29053902824335,3.4906909057412907
1020,3.2905515440973434,3.4838527778265203
1021,3.290546160498778,3.487507035949173
1022,3.2905575603252486,3.488995552074895
1023,3.290554868121184,3.4828973506719665
1024,3.2905558111498237,3.489941868989589
1025,3.2905625643515943,3.4866914358828267
1026,3.2905371657399143,3.4855786291733257
1027,3.2905511606191173,3.480847683292678
1028,3.2905491156901916,3.488904449884703
1029,3.2905710605607466,3.4897368684220798
1030,3.290573298586656,3.4899360997647544
1031,3.2905512262985424,3.488531297963556
1032,3.2905515323727332,3.49193355349983
1033,3.290555472848539,3.487251616353258
1034,3.290563172894137,3.491020782430886
1035,3.290563124453302,3.4892840751427774
1036,3.290557141539981,3.490393073587961
1037,3.2905558623689855,3.4889562591158163
1038,3.290564451190193,3.4892043139861078
1039,3.2905611025260226,3.4848348370913906
1040,3.290558081940422,3.4896186116281682
1041,3.2905548210131,3.487434991857914
1042,3.2905564936177285,3.4904201356323212
1043,3.2905603029177763,3.493872917823253
1044,3.2905522459986805,3.4877449510001255
1045,3.290555659811022,3.4893074631822434
1046,3.2905589806093523,3.490264700355906
1047,3.2905527234143244,3.4849437143119952
1048,3.290561093060532,3.488069257452309
1049,3.2905526966630356,3.483461932267714
1050,3.2905575341975424,3.489401847943569
1051,3.290548222202931,3.49055546676834
1052,3.290569401626459,3.487502029652379
1053,3.2905560706863426,3.490143760982796
1054,3.290571414372391,3.4869449893683333
1055,3.2905643584723916,3.4902169627013557
1056,3.2905617816267325,3.48822795935182
1057,3.2905563548187726,3.4859779068392447
1058,3.290557468918188,3.486532705913955
1059,3.290568717465651,3.4898991427340875
1060,3.29054727769138,3.4928193804404954
1061,3.2905372455927537,3.48912260979995
1062,3.2905525853655915,3.4823062166053003
1063,3.290562445552066,3.4875361405552567
1064,3.2905432813213915,3.4868148607061924
1065,3.290558316805051,3.4875793346397783
1066,3.290549845993978,3.4889929672462183
1067,3.290563695991945,3.4906218453018747
1068,3.2905602429962615,3.491873461295287
1069,3.290546317686262,3.4892064615249105
1070,3.29055451498996,3.4842462679383748
1071,3.2905659192420744,3.488985767761814
1072,3.290553719373795,3.48740839558352
1073,3.2905624425648616,3.4947108655712427
1074,3.290563866368817,3.4861920462513036
1075,3.290562062264692,3.4878171348740996
1076,3.2905550727806476,3.49030302099161
1077,3.290551121249909,3.4852281898061475
1078,3.290563561813977,3.489591516413751
1079,3.2905483683253216,3.491578225161742
1080,3.2905579112786114,3.490165667432954
1081,3.290559456354368,3.4896488302707946
1082,3.2905529881811155,3.487918661109597
1083,3.290546758319333,3.488878495792875
1084,3.290550896324133,3.489237666130198
1085,3.2905454079485614,3.4840083246948668
1086,3.290550218347703,3.4895637814809
1087,3.2905634028044655,3.487597110065735
1088,3.2905589961547137,3.485620358114729
1089,3.2905470599877558,3.4865715717594106
1090,3.290563337853807,3.4879569429279114
1091,3.2905516274881226,3.489470002803501
1092,3.290551897707697,3.4876541195803883
1093,3.290553970126855,3.48629769769968
1094,3.2905563001989955,3.490594944054612
1095,3.2905566502628294,3.4890104007470892
1096,3.290556408974058,3.485978516826504
1097,3.2905598880533136,3.490023105465784
1098,3.2905463435033466,3.484769582400523
1099,3.2905604817707035,3.490960907135738
1100,3.2905451382477815,3.487955517953093
1101,3.290556918566962,3.485608854744937
1102,3.2905616131622457,3.4866994607604354
1103,3.2905722859016393,3.492170293558892
1104,3.2905441851619477,3.4872828469363935
1105,3.2905442460951058,3.487461088517187
1106,3.2905505131760515,3.4863898422575033
1107,3.2905558993636808,3.488493780258538
1108,3.290556359001418,3.4844668427638026
1109,3.2905467662059094,3.4859830753386256
1110,3.2905413029339785,3.4896267765885614
1111,3.290553842226229,3.48629867568378
1112,3.2905532771533363,3.489969372604995
1113,3.290546253294037,3.4893737493159818
1114,3.2905624751493843,3.492487417496835
1115,3.2905538549395597,3.4899849095615614
1116,3.290544606574883,3.4864720073815816
1117,3.2905466804746277,3.4876390064648106
1118,3.290542104064128,3.490500832772309
1119,3.290554435332784,3.4851727572799747
1120,3.2905434867330596,3.489416740027803
1121,3.290564982505345,3.4904162886124324
1122,3.290558287077941,3.4910971722315507
1123,3.2905554834740536,3.4868824150430267
1124,3.290568235200547,3.488315226088684
1125,3.290540428222806,3.4843865472908147
1126,3.2905594870055035,3.4860656976950324
