iter,f_old,f_new
500,8.691893082649777e-5,0.17367318058596268
501,9.250053648662213e-5,0.17252624195998775
502,8.03777433365683e-5,0.1723630389076066
503,9.306356399381214e-5,0.17254895239894733
504,1.1746854097802467e-4,0.17377432921502967
505,9.034365026781011e-5,0.1724280052806882
506,9.767009168702674e-5,0.17150926805471134
507,9.653506244716714e-5,0.17234355136785573
508,8.487332381703296e-5,0.17257432665806052
509,8.606581195046301e-5,0.17154456842082985
510,9.49198633006255e-5,0.17416392447162016
511,8.372084355494641e-5,0.17087199381583923
512,9.555356855961669e-5,0.17327488078501987
513,1.065421018265085e-4,0.1729849715565941
514,9.593770304207253e-5,0.17269686510986426
515,8.834173986707935e-5,0.17491583374917996
516,9.750378695830546e-5,0.17320487767104206
517,8.99297847253651e-5,0.17353049046087946
518,9.232490477219e-5,0.1731056751344434
519,9.212764636814084e-5,0.1744320095458532
520,9.806004670818171e-5,0.17485757924664988
521,9.561357936847735e-5,0.171477767600263
522,9.267502848950061e-5,0.17183330731340596
523,9.84945779144597e-5,0.17430933285952174
524,1.0210505611981391e-4,0.1725619935414778
525,8.980574177259806e-5,0.17210004654097827
526,9.068225865122886e-5,0.17224164530072714
527,9.190594420485694e-5,0.17019464535679796
528,1.0113404724349447e-4,0.17156418852863664
529,9.839098984343486e-5,0.17611698023938485
530,8.112146717632726e-5,0.17231426434164826
531,9.327865335942416e-5,0.1740604678253476
532,9.60154939300711e-5,0.17285094199692755
533,9.735033269980151e-5,0.17257103453425093
534,9.727917729445451e-5,0.17261119941348302
535,9.371150592053248e-5,0.17361555223466377
536,7.875810137873864e-5,0.17413582552508408
537,8.714164212283957e-5,0.1720821870214455
538,9.291111859597277e-5,0.1713437939793627
539,1.0253673828003395e-4,0.17462692122118573
540,1.0396555183687228e-4,0.1735143186052071
541,9.637751694577598e-5,0.17097964800714566
542,8.272751587587656e-5,0.1733034467979211
543,9.343016820508512e-5,0.17243979760423084
544,1.0104293958821787e-4,0.1718376778732803
545,9.421973961191062e-5,0.17323946447656824
546,9.658216091616785e-5,0.1727391605405367
547,8.867666874704545e-5,0.1737053214647105
548,8.755207682995129e-5,0.17334430241188176
549,1.0407263805764847e-4,0.17313405396056547
550,9.637445189165213e-5,0.17219611174280836
551,9.244086082516416e-5,0.17491682834236674
552,9.897595963132157e-5,0.17189046977778236
553,9.000926111984154e-5,0.1737875256096174
554,9.432722763024699e-5,0.17313951554639836
555,8.786946457808643e-5,0.17072736231782723
556,1.0897804752838109e-4,0.1732439603272934
557,9.34044863786767e-5,0.17263142518528746
558,8.199869305499925e-5,0.17445081966168086
559,9.313872322538782e-5,0.17626986089504001
560,9.804845638291794e-5,0.17442453243272138
561,9.823723699774436e-5,0.17285936854946515
562,8.78394651536184e-5,0.16953843077486494
563,1.0728841702822667e-4,0.17346835233807584
564,9.38293276869263e-5,0.17163465460399543
565,8.853561171946301e-5,0.17192349186854233
566,9.566197704735079e-5,0.1737527330231549
567,9.49321698196604e-5,0.1749103913334071
568,8.26324703262798e-5,0.1732799495384436
569,1.0126518028111839e-4,0.17228914459593106
570,9.244248776226678e-5,0.17375017677623872
571,8.337209137196085e-5,0.17389538771656873
572,9.700428879654406e-5,0.17231187266292813
573,1.0390283976418925e-4,0.17475655146433272
574,1.0728215912914418e-4,0.1736755532241503
575,9.474420725643796e-5,0.17277147635154566
576,9.617631057566616e-5,0.1730039405142784
577,9.894343265776621e-5,0.175116757109937
578,1.0137112707407159e-4,0.17265164276548056
579,1.0381647974026793e-4,0.17393747673932627
580,8.571359610474849e-5,0.17461922393044216
581,1.1519626190586512e-4,0.17299907106292053
582,9.232005996119407e-5,0.1745996335159145
583,1.0555932435505655e-4,0.17214383501060793
584,8.628097301672792e-5,0.1737731599604432
585,9.25838114923482e-5,0.17444855391065872
586,9.532226114068775e-5,0.17424046363115306
587,9.135646338893936e-5,0.17449612745520177
588,1.0794144655933857e-4,0.17366210205018784
589,8.933092907525384e-5,0.1734929683927657
590,9.862962251033491e-5,0.17242291465655452
591,9.536541565929552e-5,0.17493260723483675
592,9.931741374942301e-5,0.1722416999620599
593,9.5248979372339e-5,0.17358646714575418
594,9.308318685279112e-5,0.17353570863835885
595,9.653144527566293e-5,0.175276950152248
596,9.292947681119779e-5,0.17030221330087672
597,1.0393436144061051e-4,0.17412243278060338
598,9.66455648188925e-5,0.1737882104033411
599,9.333157184015603e-5,0.17299708618881243
600,9.798379103960433e-5,0.17386933153013145
601,8.394315066794934e-5,0.17338303716376177
602,9.27443432333478e-5,0.17257654189448152
603,8.321790379980049e-5,0.1726441594034121
604,9.928832949448195e-5,0.17274171390695414
605,8.589229403447981e-5,0.17235059248000717
606,9.504876223679838e-5,0.1721021997850345
607,8.21320346871491e-5,0.1761230935662946
608,9.48010905380077e-5,0.17261700812142855
609,9.838265549703281e-5,0.17338282399350213
610,9.737450503926003e-5,0.17070816426672708
611,9.097909757206117e-5,0.17276539067193145
612,8.662719995929823e-5,0.17099931227397402
613,1.0950355957592593e-4,0.17360905567097457
614,9.197612632572272e-5,0.17433667911391154
615,9.971552292705602e-5,0.17274341174678912
616,9.358097717676571e-5,0.1730712300122431
617,8.80576876491883e-5,0.17227517485241056
618,1.0184688448768047e-4,0.17291918194744835
619,1.1371229452662565e-4,0.1753258056325348
620,1.1396753412220574e-4,0.17105651839365948
621,8.62559828953273e-5,0.17357673158388484
622,9.439415519335273e-5,0.17441211309363389
623,9.360740566023747e-5,0.17172033019706073
624,9.845321575346905e-5,0.1745988037583415
625,7.893841592517402e-5,0.17210562321355652
626,1.0332550213571864e-4,0.1732259284770917
627,1.0078122191977345e-4,0.17230512163199854
628,1.080327479225265e-4,0.1734901634996048
629,9.76504019391316e-5,0.16997317638890108
630,9.905976470254421e-5,0.1737198561649336
631,1.083072559962215e-4,0.17415236182362517
632,9.160112164413192e-5,0.17459471476900387
633,8.88146391750264e-5,0.17221513413662926
634,8.066569589364085e-5,0.17280476032783826
635,9.697610350330929e-5,0.17332277428676762
636,9.045373467975926e-5,0.1749509753323333
637,9.706766036816229e-5,0.17356097543353538
638,1.0125679624228373e-4,0.17319511333780635
639,9.248060781119135e-5,0.1750671502709847
640,9.971481579230816e-5,0.1761204394810373
641,9.445263537945562e-5,0.1720233157056807
642,9.665560873775526e-5,0.1719110159134309
643,8.839595098802702e-5,0.17256695566837452
644,9.512218692727833e-5,0.17219545498935926
645,9.752488013106686e-5,0.17280865957999517
646,8.693872212931316e-5,0.1720080933962737
647,9.415461600337116e-5,0.1733684342615037
648,8.140958140837578e-5,0.17261769474743083
649,8.6022240911229e-5,0.1723393537501897
650,8.841773570734877e-5,0.17390027609653472
651,9.359047954103206e-5,0.17151168139609654
