iter,pi_g,true_pi
500,0.16061218583901413,0.15
501,0.1506588534818696,0.15
502,0.14211400972756952,0.15
503,0.1690148423677551,0.15
504,0.15491360741431467,0.15
505,0.15664305932065098,0.15
506,0.17290478471516285,0.15
507,0.145733500437726,0.15
508,0.16765355303437532,0.15
509,0.14995856470207175,0.15
510,0.1407891641969643,0.15
511,0.15743661777668913,0.15
512,0.1545901241944649,0.15
513,0.16020531838401822,0.15
514,0.18340741965709448,0.15
515,0.1507400054410418,0.15
516,0.1608164475959025,0.15
517,0.15506801948464088,0.15
518,0.13865357703598294,0.15
519,0.1558394301951364,0.15
520,0.15961763164864118,0.15
521,0.16726733096401988,0.15
522,0.1549187384146496,0.15
523,0.15290163365157697,0.15
524,0.17001077995398817,0.15
525,0.14835253510712432,0.15
526,0.15670602886279747,0.15
527,0.15445579325404618,0.15
528,0.14704827297468684,0.15
529,0.13870818190383943,0.15
530,0.1504132854115402,0.15
531,0.13523105476664468,0.15
532,0.17076787500723678,0.15
533,0.1628919959596985,0.15
534,0.1658531280187444,0.15
535,0.14620266428815493,0.15
536,0.15336663310670942,0.15
537,0.16261761090873278,0.15
538,0.14422858738887295,0.15
539,0.14908921124151467,0.15
540,0.15241578944921796,0.15
541,0.14802287740208203,0.15
542,0.1435459228567724,0.15
543,0.15911742501729428,0.15
544,0.1458747079519775,0.15
545,0.15826604604581346,0.15
546,0.14013530096416238,0.15
547,0.16705170757269186,0.15
548,0.15175497329660798,0.15
549,0.14333382964640498,0.15
550,0.14384243994307563,0.15
551,0.15042891955101267,0.15
552,0.13538459644986695,0.15
553,0.16342956782754992,0.15
554,0.1833233314432322,0.15
555,0.14947203952374144,0.15
556,0.14667380642282365,0.15
557,0.1545968069024686,0.15
558,0.14884247727695654,0.15
559,0.161073300659282,0.15
560,0.13057103804617684,0.15
561,0.15489841734315146,0.15
562,0.147919010177596,0.15
563,0.13920762152016208,0.15
564,0.1562102156681133,0.15
565,0.14538279572932372,0.15
566,0.16562037559339446,0.15
567,0.1493102233765761,0.15
568,0.1495003877714641,0.15
569,0.12704843274135993,0.15
570,0.13983097863105545,0.15
571,0.1543436810831585,0.15
572,0.15517255624522786,0.15
573,0.15493031284768666,0.15
574,0.15867190800321831,0.15
575,0.16041637621885285,0.15
576,0.14256958938625636,0.15
577,0.14081436130242866,0.15
578,0.14323303774726684,0.15
579,0.13488951468020033,0.15
580,0.16848347214734316,0.15
581,0.1396841972741845,0.15
582,0.15927167686642638,0.15
583,0.17661619929316116,0.15
584,0.13602189693451494,0.15
585,0.16577988148995532,0.15
586,0.16474308086890335,0.15
587,0.14803034145091584,0.15
588,0.15740625168532515,0.15
589,0.13933820636940492,0.15
590,0.15638265027241607,0.15
591,0.13032796844878355,0.15
592,0.1656006583533416,0.15
593,0.1678088284297868,0.15
594,0.14210705554905262,0.15
595,0.15966441642340493,0.15
596,0.13841257013670266,0.15
597,0.16049349346773126,0.15
598,0.1394549708010696,0.15
599,0.15147578055434202,0.15
600,0.17148122687437095,0.15
601,0.1537583605574971,0.15
602,0.16174993965408885,0.15
603,0.16235526645980147,0.15
604,0.14606711543475495,0.15
605,0.15753969569922344,0.15
606,0.15780092007826596,0.15
607,0.13939863318086057,0.15
608,0.14752886930406425,0.15
609,0.17555828534065746,0.15
610,0.13189843814160634,0.15
611,0.150317785696239,0.15
612,0.12213141142554886,0.15
613,0.14719628862635142,0.15
614,0.15767954555552086,0.15
615,0.15337472510296551,0.15
616,0.16789745309586218,0.15
617,0.17653836603433273,0.15
618,0.16364804894428758,0.15
619,0.1571117925451887,0.15
620,0.15215351646064457,0.15
621,0.13567414993061358,0.15
622,0.175866330245047,0.15
623,0.16259070570779974,0.15
624,0.13969250791283658,0.15
625,0.15488283485390061,0.15
626,0.17270252106785522,0.15
627,0.145074423863229,0.15
628,0.1546654002887617,0.15
629,0.14463675932560616,0.15
630,0.14785136760549444,0.15
631,0.1633640263260392,0.15
632,0.14785973155013496,0.15
633,0.13460352196724082,0.15
634,0.17108160971378417,0.15
635,0.15728295380304008,0.15
636,0.15731688703079771,0.15
637,0.14554190111145543,0.15
638,0.1541953741290402,0.15
639,0.17621739231457886,0.15
640,0.17448953885389273,0.15
641,0.14213064627470487,0.15
642,0.15841201810042826,0.15
643,0.14905840042219207,0.15
644,0.1541490342974498,0.15
645,0.1444321364239573,0.15
646,0.16048097984972967,0.15
647,0.17099695835216316,0.15
648,0.165179370422502,0.15
649,0.145126433728412,0.15
650,0.16371939019883192,0.15
651,0.14742151749234744,0.15
652,0.17967664975645145,0.15
653,0.15789806168445233,0.15
654,0.1426527895735332,0.15
655,0.14124339851186574,0.15
656,0.17930669288578077,0.15
657,0.15542273916025215,0.15
658,0.15031132420708232,0.15
659,0.14945549216175494,0.15
660,0.15481125478535268,0.15
661,0.14510009897036844,0.15
662,0.16673007741344106,0.15
663,0.16197000759053926,0.15
664,0.1483488364033791,0.15
665,0.16205430360245848,0.15
666,0.15581330894863635,0.15
667,0.16488707710564643,0.15
668,0.15723816860227713,0.15
669,0.14270593371575718,0.15
670,0.14503404790113014,0.15
671,0.14824337441532429,0.15
672,0.15823846339527564,0.15
673,0.1543045730328455,0.15
674,0.1600584332497156,0.15
675,0.1550568907526668,0.15
676,0.14882146147275738,0.15
677,0.15431604262225854,0.15
678,0.17068697002068856,0.15
679,0.16033794510146243,0.15
680,0.14764182475408627,0.15
681,0.1588348759412213,0.15
682,0.13836438765342837,0.15
683,0.1404292594674412,0.15
684,0.14918935182194468,0.15
685,0.14441350496988395,0.15
686,0.1633345059580544,0.15
687,0.15280003487048308,0.15
688,0.1631129080380485,0.15
689,0.16843665610014735,0.15
690,0.1637060938066239,0.15
691,0.14750584667762817,0.15
692,0.13937404510291873,0.15
693,0.13625517083977307,0.15
694,0.1289492857489756,0.15
695,0.15711979358937633,0.15
696,0.15953039498390673,0.15
697,0.1552552598905813,0.15
698,0.14688849681227253,0.15
699,0.13926169324114543,0.15
700,0.14095126829076748,0.15
701,0.15766797010533598,0.15
702,0.14490398870688986,0.15
703,0.16171031225964924,0.15
704,0.14209658658735894,0.15
705,0.13617258472155636,0.15
706,0.14991927756317772,0.15
707,0.1568585767491676,0.15
708,0.16212954475114935,0.15
709,0.1473286103947704,0.15
710,0.14438996469334142,0.15
711,0.15976450780245993,0.15
712,0.16524078752657156,0.15
713,0.14956789324019157,0.15
714,0.13830392675103573,0.15
715,0.16072074539821773,0.15
716,0.157607557048578,0.15
717,0.14386374187784082,0.15
718,0.1441661756919848,0.15
719,0.16055572291139658,0.15
720,0.15409709089796458,0.15
721,0.14972915725966116,0.15
722,0.15373478936682583,0.15
723,0.16977863172465563,0.15
724,0.16058637024746933,0.15
725,0.13283467914686017,0.15
726,0.16149107318948444,0.15
727,0.15082139810873807,0.15
728,0.156268924572357,0.15
729,0.15455704643166648,0.15
730,0.13979374526580393,0.15
731,0.1665294200050515,0.15
732,0.15300800641599555,0.15
733,0.1451351253466067,0.15
734,0.15741604221332134,0.15
735,0.15921188109899254,0.15
736,0.17262451223473127,0.15
737,0.16317242631632664,0.15
738,0.15240682995441662,0.15
739,0.15421746512904239,0.15
740,0.15303323667666205,0.15
741,0.15346960152267516,0.15
742,0.14239913420388325,0.15
743,0.17833267814602308,0.15
744,0.16552917912241613,0.15
745,0.1617979785252004,0.15
746,0.14495652194266104,0.15
747,0.14799104216086925,0.15
748,0.13981144967462752,0.15
749,0.1549889181401012,0.15
750,0.17556057407819073,0.15
751,0.1737051887630735,0.15
752,0.15502845536061532,0.15
753,0.17081906279879946,0.15
754,0.15122588902534317,0.15
755,0.13201972631589962,0.15
756,0.15740649579500948,0.15
757,0.1585795874961773,0.15
758,0.15927174669611469,0.15
759,0.165368576778326,0.15
760,0.137492032654068,0.15
761,0.15833955683565112,0.15
762,0.1706077264062304,0.15
763,0.16259316918144853,0.15
764,0.17158932902267818,0.15
765,0.15166139918697438,0.15
766,0.13920443649043085,0.15
767,0.16346130723435046,0.15
768,0.18647740793518233,0.15
769,0.14132664703500347,0.15
770,0.13724703492225448,0.15
771,0.14249303194569093,0.15
772,0.1575893009054247,0.15
773,0.16499788307607663,0.15
774,0.15823481292337496,0.15
775,0.14613299070470437,0.15
776,0.13475628018158928,0.15
777,0.14122987117988503,0.15
778,0.15515833823706732,0.15
779,0.14558600299800759,0.15
780,0.15260803143893065,0.15
781,0.12448222845406705,0.15
782,0.14258054569856565,0.15
783,0.15035890015917286,0.15
784,0.13912993639978644,0.15
785,0.14516144529954536,0.15
786,0.1568658068795688,0.15
787,0.1692004957662968,0.15
788,0.13630941903537666,0.15
789,0.1550945819204639,0.15
790,0.16148873327378083,0.15
791,0.147903030022439,0.15
792,0.13686105851098454,0.15
793,0.13798349876810023,0.15
794,0.150892053613524,0.15
795,0.17925919947386565,0.15
796,0.15085812718585215,0.15
797,0.14317145937978487,0.15
798,0.15641877287662964,0.15
799,0.17896442084599246,0.15
800,0.168899992700268,0.15
801,0.14099625732306606,0.15
802,0.15087174218975052,0.15
803,0.1720573466742788,0.15
804,0.15113620431502742,0.15
805,0.1569943539581024,0.15
806,0.14738150305353795,0.15
807,0.16630793190092247,0.15
808,0.13920402752798902,0.15
809,0.15288944217828285,0.15
810,0.14709410456199717,0.15
811,0.13496739234686173,0.15
812,0.14157939275359713,0.15
813,0.1548546325666474,0.15
814,0.14991302096130493,0.15
815,0.17813125490021492,0.15
816,0.15620747368270732,0.15
817,0.1797484735381668,0.15
818,0.13941722608869228,0.15
819,0.145157021949186,0.15
820,0.16452168335849018,0.15
821,0.16834864793746238,0.15
822,0.1386335098270973,0.15
823,0.163037534427348,0.15
824,0.1574741871711872,0.15
825,0.15926645653335303,0.15
826,0.15156962674276211,0.15
827,0.16287483474510267,0.15
828,0.1478020569412894,0.15
829,0.15189979708314166,0.15
830,0.1594440830581949,0.15
831,0.14209988772047283,0.15
832,0.1528606193033448,0.15
833,0.14596049030298547,0.15
834,0.16993730271245203,0.15
835,0.17624592684309867,0.15
836,0.16009731175946437,0.15
837,0.14421058803797182,0.15
838,0.1665862791466771,0.15
839,0.13644510877938754,0.15
840,0.14570583285194869,0.15
841,0.14291636691626497,0.15
842,0.16382831565212266,0.15
843,0.12434941730188342,0.15
844,0.14280801103285165,0.15
845,0.16217402955331134,0.15
846,0.17880220289394802,0.15
847,0.13083089297490336,0.15
848,0.17665027348714657,0.15
849,0.15339551541004556,0.15
850,0.15279961552831445,0.15
851,0.1626017439426916,0.15
852,0.1569878979829338,0.15
853,0.16623506000057947,0.15
854,0.17086308688715632,0.15
855,0.1484060899776266,0.15
856,0.15470369813208926,0.15
857,0.15838229229135953,0.15
858,0.17015578367438755,0.15
859,0.14359369230362015,0.15
860,0.1430332267170801,0.15
861,0.1771362873813782,0.15
862,0.1489400533377793,0.15
863,0.17797834756007172,0.15
864,0.134974194711979,0.15
865,0.1778849051602522,0.15
866,0.16661358504378718,0.15
867,0.15607870650237718,0.15
868,0.14778004570774173,0.15
869,0.13968439921017,0.15
870,0.1499502733956977,0.15
871,0.14920217688222717,0.15
872,0.1652571065282837,0.15
873,0.16583381080572474,0.15
874,0.16240717386470718,0.15
875,0.12579190394596293,0.15
876,0.15746300604443167,0.15
877,0.16113035684634472,0.15
878,0.152563985981373,0.15
879,0.16135459255475743,0.15
880,0.16168583729793684,0.15
881,0.17989652989547525,0.15
882,0.15680672051871083,0.15
883,0.1623107140816429,0.15
884,0.14717888801805515,0.15
885,0.16067844845340362,0.15
886,0.15982933276252115,0.15
887,0.13177714916849542,0.15
888,0.16063076369650997,0.15
889,0.1536656529912711,0.15
890,0.14954218851800757,0.15
891,0.15455477056703645,0.15
892,0.1441072292921337,0.15
893,0.15656985569761034,0.15
894,0.16092012021515736,0.15
895,0.13911734654139332,0.15
896,0.14681824978303823,0.15
897,0.15397571225646775,0.15
898,0.15759652472532334,0.15
899,0.14953493816476143,0.15
900,0.15064246464225084,0.15
901,0.1281017927308982,0.15
902,0.15938477935696294,0.15
903,0.15102716173884606,0.15
904,0.14769035733262684,0.15
905,0.15148594056682765,0.15
906,0.1392682121516825,0.15
907,0.1540844353801122,0.15
908,0.15668378301318145,0.15
909,0.17125488581660442,0.15
910,0.1421368729236439,0.15
911,0.14918177089751128,0.15
912,0.14151563444043117,0.15
913,0.1598098118984582,0.15
914,0.15856650467246286,0.15
915,0.15679915493296823,0.15
916,0.16343477230649864,0.15
917,0.15672188485817454,0.15
918,0.1416595065006515,0.15
919,0.1376454103882714,0.15
920,0.15195365089263796,0.15
921,0.15122848762138497,0.15
922,0.1472489848942326,0.15
923,0.16146792695379178,0.15
924,0.15000874393413055,0.15
925,0.16485752908298715,0.15
926,0.13230816723404293,0.15
927,0.14917476558328913,0.15
928,0.1545314288325824,0.15
929,0.13286862162482932,0.15
930,0.1473397586925438,0.15
931,0.15380313494659945,0.15
932,0.14059169657241483,0.15
933,0.1419239835013449,0.15
934,0.135320378453909,0.15
935,0.17451716845573528,0.15
936,0.14932416050949038,0.15
937,0.17970169297994842,0.15
938,0.17155577341089553,0.15
939,0.14494417071829335,0.15
940,0.16064233003722575,0.15
941,0.16303075594630817,0.15
942,0.13985424712775746,0.15
943,0.15259642627335956,0.15
944,0.13683426888568712,0.15
945,0.15572332601807315,0.15
946,0.16335964369448736,0.15
947,0.16211696744414553,0.15
948,0.14877662911337422,0.15
949,0.15922745199426536,0.15
950,0.1334033535105235,0.15
951,0.16444540313413247,0.15
952,0.16521559037304767,0.15
953,0.15481440183970296,0.15
954,0.14576318698149648,0.15
955,0.14129049202898777,0.15
956,0.16299893841071222,0.15
957,0.15048532031880443,0.15
958,0.1400766367150188,0.15
959,0.1497766431462144,0.15
960,0.13951972137493274,0.15
961,0.1568891134487151,0.15
962,0.1396959482856356,0.15
963,0.17267042096426355,0.15
964,0.15001930352840534,0.15
965,0.16095608173534356,0.15
966,0.15139143030021077,0.15
967,0.15214003422771982,0.15
968,0.1547018465826896,0.15
969,0.1388023093952242,0.15
970,0.16744664606795343,0.15
971,0.1722426452045024,0.15
972,0.14043139281235253,0.15
973,0.16553680051320177,0.15
974,0.16155037302775874,0.15
975,0.14239034401290052,0.15
976,0.14248735930069473,0.15
977,0.18079766017332732,0.15
978,0.1545476983296206,0.15
979,0.13544532158286884,0.15
980,0.16251453535882363,0.15
981,0.14253125633294933,0.15
982,0.14886365360565265,0.15
983,0.17021199979244048,0.15
984,0.18330747815997095,0.15
985,0.15843169523533782,0.15
986,0.14479690258028505,0.15
987,0.1470488285885464,0.15
988,0.1426026838783615,0.15
989,0.14948780595060254,0.15
990,0.14174116922088686,0.15
991,0.15231705853492344,0.15
992,0.14472881362736675,0.15
993,0.1493423241175707,0.15
994,0.15328434187775986,0.15
995,0.162688261418006,0.15
996,0.16929991726774035,0.15
997,0.14292166063155237,0.15
998,0.1497714684241053,0.15
999,0.1509459974089643,0.15
1000,0.15444581406560695,0.15
