iter,pi_g,true_pi
1000,0.05309091102102928,0.05
1001,0.04961918666297798,0.05
1002,0.0534416738555393,0.05
1003,0.056674625832908464,0.05
1004,0.05487416726874201,0.05
1005,0.057161020797492336,0.05
1006,0.0485482863481928,0.05
1007,0.05119175525044596,0.05
1008,0.05021175103666732,0.05
1009,0.05319696777109886,0.05
1010,0.05745193986969719,0.05
1011,0.05865795319255217,0.05
1012,0.05534922703176678,0.05
1013,0.050055814426464944,0.05
1014,0.05693291543645128,0.05
1015,0.056867511782624905,0.05
1016,0.05358214381198069,0.05
1017,0.051699701594709095,0.05
1018,0.05356539857525306,0.05
1019,0.058627797651283224,0.05
1020,0.05102463307440585,0.05
1021,0.05224346989384836,0.05
1022,0.05131064213924025,0.05
1023,0.049952804714688194,0.05
1024,0.05969121523131782,0.05
1025,0.04918320532274241,0.05
1026,0.05517093646052625,0.05
1027,0.057188969817167076,0.05
1028,0.05026331934801299,0.05
1029,0.05190768164625661,0.05
1030,0.055851381918323,0.05
1031,0.05401429268500914,0.05
1032,0.05785226349409889,0.05
1033,0.06084153161500337,0.05
1034,0.056442078668109893,0.05
1035,0.05158684291942639,0.05
1036,0.05791575934057663,0.05
1037,0.05648499707719284,0.05
1038,0.054666916928236386,0.05
1039,0.05210050572050452,0.05
1040,0.05010152468422456,0.05
1041,0.05763502830824505,0.05
1042,0.055279391246612346,0.05
1043,0.056494719509981556,0.05
1044,0.05840562057080798,0.05
1045,0.058352233587405954,0.05
1046,0.051735422810934316,0.05
1047,0.056995072581537756,0.05
1048,0.05705490920680298,0.05
1049,0.05834907833764469,0.05
1050,0.060557850068698474,0.05
1051,0.05801705903510373,0.05
1052,0.05756837811083609,0.05
1053,0.05650750101266838,0.05
1054,0.05652074889387438,0.05
1055,0.05830641994979737,0.05
1056,0.05459768309274577,0.05
1057,0.05602723920405577,0.05
1058,0.051156322721622946,0.05
1059,0.05128115574491906,0.05
1060,0.05736627913401574,0.05
1061,0.05896076429707753,0.05
1062,0.05167052944283214,0.05
1063,0.056033002600445296,0.05
1064,0.05470614763225803,0.05
1065,0.05316801157758756,0.05
1066,0.05028082942715304,0.05
1067,0.049235692403559204,0.05
1068,0.053951208693429516,0.05
1069,0.05263124869447324,0.05
1070,0.051668343108684955,0.05
1071,0.05113656204173681,0.05
1072,0.05585055461611479,0.05
1073,0.056147300465635375,0.05
1074,0.0540612138168615,0.05
1075,0.05619201629111422,0.05
1076,0.05675237807445181,0.05
1077,0.05586962015818043,0.05
1078,0.056362547759006613,0.05
1079,0.05199067500551014,0.05
1080,0.0580435159693665,0.05
1081,0.057830350497180626,0.05
1082,0.0564256779304108,0.05
1083,0.05055107333648643,0.05
1084,0.05542771536034922,0.05
1085,0.06450640086305427,0.05
1086,0.05644729520627725,0.05
1087,0.053538195179407035,0.05
1088,0.05138899362169308,0.05
1089,0.05652080560258212,0.05
1090,0.05574061081871758,0.05
1091,0.05548002057782775,0.05
1092,0.05549988109979041,0.05
1093,0.049440133239292985,0.05
1094,0.05594076661194216,0.05
1095,0.05759020597983029,0.05
1096,0.0560211352819354,0.05
1097,0.05565163830942555,0.05
1098,0.05267631668857539,0.05
1099,0.053655204355176234,0.05
1100,0.0538529440363177,0.05
1101,0.05479854985552602,0.05
1102,0.058022899958501316,0.05
1103,0.056906436871550045,0.05
1104,0.05192283092282461,0.05
1105,0.056233332335448374,0.05
1106,0.05446915293580986,0.05
1107,0.05797637343017474,0.05
1108,0.05626387580192104,0.05
1109,0.05184406267537126,0.05
1110,0.056041550176717476,0.05
1111,0.04905253455340762,0.05
1112,0.05740590336466191,0.05
1113,0.053761422624473865,0.05
1114,0.05163390774613686,0.05
1115,0.04849295979407562,0.05
1116,0.05369688805917202,0.05
1117,0.056114430945074616,0.05
1118,0.05446575705079325,0.05
1119,0.05406579118678738,0.05
1120,0.05267947895508671,0.05
1121,0.05242583129712605,0.05
1122,0.05355845653183398,0.05
1123,0.05480251619165717,0.05
1124,0.05811900498517224,0.05
1125,0.054450111399071625,0.05
1126,0.05227645106809064,0.05
1127,0.048395110099419714,0.05
1128,0.048641155672390725,0.05
1129,0.05229336751397579,0.05
1130,0.057269984417273045,0.05
1131,0.057947673836639096,0.05
1132,0.05439114173547341,0.05
1133,0.05350682268723447,0.05
1134,0.047551363396101776,0.05
1135,0.052988113762642675,0.05
1136,0.05384326597984236,0.05
1137,0.0563829034474278,0.05
1138,0.055009817051613716,0.05
1139,0.05658749889805073,0.05
1140,0.05461805389855277,0.05
1141,0.05563070076265421,0.05
1142,0.049615262673134514,0.05
1143,0.05930816244614697,0.05
1144,0.04888669921957077,0.05
1145,0.05502163953698221,0.05
1146,0.05788436025878457,0.05
1147,0.051644937420380684,0.05
1148,0.06359236949965556,0.05
1149,0.0553857764172808,0.05
1150,0.057341514051469485,0.05
1151,0.052083853605091,0.05
1152,0.05354787484879295,0.05
1153,0.056533737641945365,0.05
1154,0.056031074395140684,0.05
1155,0.05992167208431699,0.05
1156,0.049541309855211824,0.05
1157,0.05134973986224295,0.05
1158,0.056351483492545165,0.05
1159,0.053453906892302575,0.05
1160,0.058836285883457067,0.05
1161,0.056707784032939114,0.05
1162,0.05541861492039297,0.05
1163,0.051018802104907945,0.05
1164,0.05493538057565651,0.05
1165,0.05278818180365414,0.05
1166,0.05387772517593192,0.05
1167,0.05785444499135575,0.05
1168,0.05404704623326856,0.05
1169,0.05217479348175051,0.05
1170,0.05054009832235605,0.05
1171,0.055029164160980124,0.05
1172,0.04998100707934938,0.05
1173,0.057024434278015665,0.05
1174,0.051033788108202374,0.05
1175,0.055923722257782985,0.05
1176,0.054905954838850746,0.05
1177,0.05295698051555523,0.05
1178,0.05664619390507135,0.05
1179,0.05156956779711122,0.05
1180,0.054207233805974794,0.05
1181,0.05680055145268609,0.05
1182,0.05590329570203329,0.05
1183,0.05533742776297532,0.05
1184,0.051932479802243546,0.05
1185,0.06396870117714969,0.05
1186,0.05502769615377292,0.05
1187,0.047616139441182696,0.05
1188,0.04992413207446198,0.05
1189,0.05471262680007069,0.05
1190,0.04792584758178748,0.05
1191,0.0552131378420438,0.05
1192,0.05306089407905463,0.05
1193,0.05610253131628384,0.05
1194,0.05598636122382912,0.05
1195,0.05590875925190581,0.05
1196,0.055554746024648605,0.05
1197,0.053680448839522284,0.05
1198,0.050342156512604444,0.05
1199,0.05091705978981401,0.05
1200,0.04661280128613626,0.05
1201,0.04965582364146015,0.05
1202,0.051698452026420184,0.05
1203,0.056234078928929794,0.05
1204,0.055885464217655875,0.05
1205,0.059778318247011325,0.05
1206,0.047355884754683664,0.05
1207,0.05220808026700487,0.05
1208,0.05479176019505399,0.05
1209,0.04961438717557579,0.05
1210,0.0524815971110454,0.05
1211,0.05682107421598448,0.05
1212,0.048108496425896284,0.05
1213,0.05383877134148904,0.05
1214,0.053027249144281446,0.05
1215,0.055433639613907,0.05
1216,0.05382111379683412,0.05
1217,0.0565446575821115,0.05
1218,0.055227172419143045,0.05
1219,0.0552801962943337,0.05
1220,0.05488841805383689,0.05
1221,0.050646182161532556,0.05
1222,0.054363225709732885,0.05
1223,0.054882584498285335,0.05
1224,0.05566892688476577,0.05
1225,0.04822231063196612,0.05
1226,0.051236168830656216,0.05
1227,0.05357467901341265,0.05
1228,0.05116335106296365,0.05
1229,0.05881336409741008,0.05
1230,0.05626819440671346,0.05
1231,0.055518016484617586,0.05
1232,0.05313791802128712,0.05
1233,0.054315101620703056,0.05
1234,0.05523045837153479,0.05
1235,0.05350667035781874,0.05
1236,0.05640202205028091,0.05
1237,0.05431828696912432,0.05
1238,0.04818931977422591,0.05
1239,0.05768133801086142,0.05
1240,0.05740271529757147,0.05
1241,0.060253017801989134,0.05
1242,0.0546963479431934,0.05
1243,0.05458775729642687,0.05
1244,0.051470312679333795,0.05
1245,0.0558038262665525,0.05
1246,0.05392423503349821,0.05
1247,0.053773314380581874,0.05
1248,0.05172003639927681,0.05
1249,0.05463329523391375,0.05
1250,0.052194016588972075,0.05
1251,0.056480650159929396,0.05
1252,0.05160647602659655,0.05
1253,0.052319752977726584,0.05
1254,0.05381019402036498,0.05
1255,0.055353117348162235,0.05
1256,0.05550911957698125,0.05
1257,0.05341715184862737,0.05
1258,0.055685165346765736,0.05
1259,0.0510529563463293,0.05
1260,0.0521548282668338,0.05
1261,0.05523415836294754,0.05
1262,0.05163657509321566,0.05
1263,0.05137806867941525,0.05
1264,0.057187434670837915,0.05
1265,0.055941027500732834,0.05
1266,0.05271407678660077,0.05
1267,0.055337339407171185,0.05
1268,0.05277710031514877,0.05
1269,0.0570174709229568,0.05
1270,0.05953879762637267,0.05
1271,0.059018599366461526,0.05
1272,0.05617179233351432,0.05
1273,0.05542217820850081,0.05
1274,0.058207828023612566,0.05
1275,0.0554725051338143,0.05
1276,0.05152495565999668,0.05
1277,0.05375439696931878,0.05
1278,0.05265038813206873,0.05
1279,0.05630319209801346,0.05
1280,0.05168031912620334,0.05
1281,0.05024436734149453,0.05
1282,0.06198206692464407,0.05
1283,0.04722397975810211,0.05
1284,0.05351071299540396,0.05
1285,0.053392562069474306,0.05
1286,0.058668801656416594,0.05
1287,0.05548826456981641,0.05
1288,0.054157272223214495,0.05
1289,0.049859243867846036,0.05
1290,0.059741140769540735,0.05
1291,0.05928839626807108,0.05
1292,0.05232897894245125,0.05
1293,0.05638978761039626,0.05
1294,0.05136660371479841,0.05
1295,0.058362549807148036,0.05
1296,0.05381022019141048,0.05
1297,0.05626013819723983,0.05
1298,0.05272740736748495,0.05
1299,0.053835361093029305,0.05
1300,0.051751388735144184,0.05
1301,0.05347716284477509,0.05
1302,0.058753053714676144,0.05
1303,0.059896995361921425,0.05
1304,0.05895961133105591,0.05
1305,0.054499641696194145,0.05
1306,0.051994184553930775,0.05
1307,0.05278419956001644,0.05
1308,0.05806003356277851,0.05
1309,0.06009444538762779,0.05
1310,0.05587087859346015,0.05
1311,0.056716745494607146,0.05
1312,0.0596998583206141,0.05
1313,0.050584959012669815,0.05
1314,0.05754846625808316,0.05
1315,0.0515262267026863,0.05
1316,0.05276684003110779,0.05
1317,0.052796922435908195,0.05
1318,0.05946943355826638,0.05
1319,0.05331725898989367,0.05
1320,0.05575454338264469,0.05
1321,0.05601603421241288,0.05
1322,0.05353161748983838,0.05
1323,0.05242341464225918,0.05
1324,0.055986484359234964,0.05
1325,0.055548662567267364,0.05
1326,0.0528199505417711,0.05
1327,0.05127072129124223,0.05
1328,0.05830566485776,0.05
1329,0.052755096464000645,0.05
1330,0.04897463654353813,0.05
1331,0.061113989360086336,0.05
1332,0.05252567085582861,0.05
1333,0.05152840474792214,0.05
1334,0.051560844452157625,0.05
1335,0.05715815165288881,0.05
1336,0.05118755056805863,0.05
