iter,pi
500,0.5152205594792146
501,0.5205210258648197
502,0.5165641412265625
503,0.5068227576069515
504,0.5171160457651663
505,0.4771588901461283
506,0.5123889608249059
507,0.5375020108651604
508,0.5153694398106905
509,0.5070450986429694
510,0.5343084507982035
511,0.5209170711767136
512,0.4704468570199579
513,0.5052515838550844
514,0.4993762813335225
515,0.5114748214175594
516,0.474725121587041
517,0.5430377009321471
518,0.5242653357214011
519,0.5012008732719622
520,0.5125541600711595
521,0.5232120878546535
522,0.5110720025360258
523,0.5362965374608577
524,0.5286449417527124
525,0.506624206074991
526,0.512441200208861
527,0.4842767635327131
528,0.5058587606741886
529,0.49964587031765423
530,0.5273640625469787
531,0.5112521680443124
532,0.5147649465619666
533,0.5174145522552145
534,0.5260875765216042
535,0.5344260333882267
536,0.5206198663114853
537,0.4994424352974823
538,0.5185953607932956
539,0.5108172718515368
540,0.5027600190220141
541,0.5316421527259814
542,0.5420730297586285
543,0.5206779386358735
544,0.5130411388370661
545,0.5169819821080184
546,0.5172102377232414
547,0.5753575091104742
548,0.5493473235689244
549,0.536566962359674
550,0.5168756439719503
551,0.5031329053201056
552,0.521050310024448
553,0.5084278739508775
554,0.5206173804586152
555,0.498981987916206
556,0.5041966140842858
557,0.5489499292408238
558,0.5365103089132793
559,0.5036922825851283
560,0.5177117292141775
561,0.49175688427188846
562,0.524875373905722
563,0.5192254136163429
564,0.5014915732577103
565,0.5154669977461501
566,0.5412517860463139
567,0.5166945786829795
568,0.5283281977739186
569,0.5329877821370366
570,0.5108259260819464
571,0.5100996125578794
572,0.5305308911079029
573,0.5203808488313924
574,0.49358097318106675
575,0.5208548398023596
576,0.5262182845009947
577,0.524888880421161
578,0.5175792011954411
579,0.5575972216308055
580,0.5082079570530654
581,0.5475530204429284
582,0.516833646738069
583,0.5431756475121765
584,0.549420205003431
585,0.49307010935834417
586,0.5114059944891022
587,0.5228302206511907
588,0.5033902234970707
589,0.5214114894390955
590,0.5079087528751065
591,0.49510248023540193
592,0.5321458103683155
593,0.5214359769725018
594,0.5001178156674686
595,0.5418894050805827
596,0.528431286808014
597,0.5315183767988053
598,0.531098278450321
599,0.5362894081670214
600,0.5046011076371836
601,0.5296939357281166
602,0.5245727922985675
603,0.5232482060540428
604,0.5215010523533155
605,0.502830138426662
606,0.5241177752519824
607,0.5385712271145793
608,0.53510375370339
609,0.5333397300268714
610,0.5219833435632675
611,0.529316976424625
612,0.5719758842003427
613,0.5376893611966118
614,0.5046173496432474
615,0.4917018000124426
616,0.5322039262538878
617,0.5124715387694494
618,0.5007835271142776
619,0.510402275507076
620,0.51881993934738
621,0.4977291870607713
622,0.536141158085194
623,0.5089071839422339
624,0.5067212107371086
625,0.5022466247682446
626,0.521986990340191
627,0.5239426807949341
628,0.5110034375198337
629,0.5372523187548797
630,0.5105105103130853
631,0.5286357013755763
632,0.5063170846914092
633,0.49135102759796495
634,0.5040944740927233
635,0.5436008185082275
636,0.530201080566096
637,0.5017815684230853
638,0.47902510382275976
639,0.5157273977020512
640,0.5456588950664876
641,0.5390680485029303
642,0.4896702649825301
643,0.5124981949866928
644,0.5065049720798083
645,0.544538222968155
646,0.5144845564656725
647,0.5191905350604114
648,0.5079938901640872
649,0.5182700705531447
650,0.5048815619712779
651,0.5292849565063933
652,0.5284912572541288
653,0.5040047557350044
654,0.5025920264144892
655,0.4754710854640829
656,0.4972724832833398
657,0.5476062871399371
658,0.535396189403952
659,0.5308867230455193
660,0.47980425981401326
661,0.5147387428837316
662,0.5465634974233562
663,0.49281637090790525
664,0.5273030026099474
665,0.5216913857931875
666,0.49773798519379336
667,0.5299267743664262
668,0.5106138908834891
669,0.5503722164660425
670,0.5283654685135515
671,0.5533281893596306
672,0.5098080699078473
673,0.5317099224868066
674,0.5108796840251226
675,0.5204312710961472
676,0.5259026575353819
677,0.547274455342794
678,0.5127918546372626
679,0.517969981810705
680,0.511842657946922
681,0.49080650055391173
682,0.5163388595197367
683,0.5321527797870844
684,0.5563910936012497
685,0.5377544240703324
686,0.5062459954932262
687,0.5098733627153272
688,0.5540769964120492
689,0.5415089287310502
690,0.5198533000674457
691,0.5174757062314373
692,0.5394524374965692
693,0.5320733667007906
694,0.5236941903951251
695,0.5148066395073648
696,0.5204180969485207
697,0.5209324501931709
698,0.5088041118001524
699,0.530452205343186
700,0.4991100573610105
701,0.5234830171108337
702,0.5094769747471959
703,0.51523494439905
704,0.51047367262173
705,0.49476201374645545
706,0.47988006755805895
707,0.5274695177383671
708,0.5147817664257317
709,0.5153166616148611
710,0.5021443714150056
711,0.5228742344784633
712,0.49575526791800456
713,0.5022430524093789
714,0.5220783677101452
715,0.4948899535049449
716,0.5115908823115836
717,0.5172214002440007
718,0.5382563019853854
719,0.5271697408141994
720,0.5079785258303717
721,0.53832728332873
722,0.5143311627647561
723,0.495249762996547
724,0.5404189107004755
725,0.5412594468808111
726,0.5094393255281634
727,0.5291959446413391
728,0.5019721441687087
729,0.521688988528723
730,0.5002937758427828
731,0.5050188870509449
732,0.5265332893119671
733,0.529603131274636
734,0.5248259083896823
735,0.4981478243982105
736,0.5196038408997928
737,0.5375082693849835
738,0.516385141361647
739,0.5001313921348253
740,0.5286867091000516
741,0.5233438541419726
742,0.5316827566885991
743,0.5022015641224918
744,0.5333259490645181
745,0.5044254980565435
746,0.5037473104409633
747,0.5121463686278148
748,0.5123824077855945
749,0.49514195778292464
750,0.5169547639678569
751,0.495588871843233
752,0.5161075228190999
753,0.49191539107643983
754,0.5270798281882872
755,0.5285017581057513
756,0.5174206460043154
757,0.5162441303793275
758,0.505656084137727
759,0.487475986593727
760,0.47062842084335926
761,0.5376020885390409
762,0.5299044777524549
763,0.5014994137800334
764,0.5313855427193814
765,0.5216420104774996
766,0.5505131227795588
767,0.5234733123323363
768,0.5016113792359055
769,0.5356589224369853
770,0.55214231924244
771,0.5180513710221141
772,0.5055820425127233
773,0.5060208827407985
774,0.546749928692298
775,0.5267977288204857
776,0.5269222113180673
777,0.5578039595499937
778,0.5052068802024366
779,0.502614719576624
780,0.49838829904441934
781,0.5163226269267871
782,0.4962925274512944
783,0.5109441207513525
784,0.516503167797392
785,0.5229752952597715
786,0.5153987235824831
787,0.5178398847637811
788,0.503243590824396
789,0.5252884447293411
790,0.5344244777092223
791,0.533952327424103
792,0.5048966708112512
793,0.5263256013104777
794,0.49801231768331167
795,0.49540453647648297
796,0.5311997265224804
797,0.5074004517088014
798,0.5131017494422883
799,0.5260783355129963
800,0.5475065286875967
801,0.5069794373657599
802,0.49559846998255647
803,0.5095826824341766
804,0.5159363255647493
805,0.5016284204428105
806,0.534525419485551
807,0.5099029555366522
808,0.5284536676354555
809,0.523652728826751
810,0.4982792294761807
811,0.5586501954494365
812,0.49071394994619366
813,0.5242270740376539
814,0.4877389713075383
815,0.5142969809376475
816,0.525231788743287
817,0.5253694971678026
818,0.529414098531439
819,0.5504456754916836
820,0.5447395210715743
821,0.5391239942870872
822,0.49814112838762076
823,0.49921906459719045
824,0.5296306840479283
825,0.49199476152048793
826,0.5211078367317422
827,0.5163732895554767
828,0.505168949684113
829,0.5051324027912173
830,0.5159696696849008
831,0.5234239116051734
832,0.5162524572478372
833,0.5369302389317678
834,0.5155841177950031
835,0.5432961418333535
836,0.5337676178707195
837,0.5132123023365619
838,0.5284132128887169
839,0.5280082640674489
840,0.49731302373108865
841,0.5215778586698818
842,0.4778710812744939
843,0.5186702678361511
844,0.49770876815670434
845,0.49492574976072456
846,0.5198118981496782
847,0.5220886728712107
848,0.5260637699001427
849,0.5294170261093217
850,0.5351955662071489
851,0.5447302693231781
852,0.4957964617597338
853,0.5168072102711488
854,0.5433784406104045
855,0.51560213019182
856,0.5435362237771618
857,0.4837174844597866
858,0.4858903272331947
859,0.5025512776320916
860,0.5117728197859296
861,0.5285743410186623
862,0.514814908335107
863,0.5281006063991305
864,0.5178240652885651
865,0.5457063603113004
866,0.5257933821493965
867,0.5148582303503645
868,0.4588916687167391
869,0.5162008252645436
870,0.48441000257599814
871,0.5118906529502893
872,0.5312987578007548
873,0.5320445254132983
874,0.5042415883741581
875,0.5082835534962165
876,0.5200578087812848
877,0.5561067730091732
878,0.5401646920837291
879,0.5277887756503562
880,0.5165142137007537
881,0.5185039154539202
882,0.5384196988764541
883,0.5295139149359449
884,0.5283296102273648
885,0.4996941315288972
886,0.500874045376018
887,0.5340369620974161
888,0.5237798171514201
889,0.5188574179555706
890,0.501570084290677
891,0.5351221911891848
892,0.5340229603215455
893,0.5248988743772854
894,0.5050117340407416
895,0.5245053682108068
896,0.5002514377230486
897,0.5028598641044179
898,0.5100230702833431
899,0.5136274766248268
900,0.4902796516437825
901,0.5140751169807966
902,0.5430107040983431
903,0.5048195271178533
904,0.5087469708500418
905,0.5397786071899126
906,0.5142613402204051
907,0.5101104583246472
908,0.5059929027995245
909,0.5252367501932044
910,0.49955431178712295
911,0.5366416375498371
912,0.5271232427977808
913,0.5224735533564593
914,0.5407792603994787
915,0.526361725219547
916,0.5174893125080644
917,0.5125227458400797
918,0.506082274914247
919,0.5181288331007818
920,0.5135017784803806
921,0.5536125572980465
922,0.4858212982782118
923,0.5245296203534517
924,0.5037089267092884
925,0.515292769767287
926,0.5055123959856511
927,0.507618010005666
928,0.4982818445122145
929,0.5324213068305914
930,0.5193082821809212
931,0.4864754894074634
932,0.5370913564243501
933,0.5230047273172632
934,0.5015548367047362
935,0.5347696643495398
936,0.518082550523795
937,0.5263622629580142
938,0.4986864109016869
939,0.5052804617566711
940,0.5358225369223661
941,0.513877694420824
942,0.5181821123571712
943,0.5248273843983637
944,0.5096248615675757
945,0.4871821068776336
946,0.5379821955313769
947,0.5362955740173353
948,0.4956826303581518
949,0.5304318239193306
950,0.5094006903295337
951,0.5080518250164028
952,0.5360041050954107
953,0.5041473168388844
954,0.5159513120509333
955,0.5257898428645722
956,0.5260142490901872
957,0.5338229281457666
958,0.5142937944017802
959,0.5138715967469188
960,0.5198122614180705
961,0.5141661728089273
962,0.533703613329823
963,0.5266181515532579
964,0.5425266595709811
965,0.5480439990664822
966,0.5123207265239055
967,0.5021473914789064
968,0.5063972976133362
969,0.5038930134333729
970,0.5257706295849718
971,0.5068770557885468
972,0.5138231694213631
973,0.5047403847054124
974,0.5270606349358904
975,0.5211510977828168
976,0.5153584122870338
977,0.506838597774292
978,0.5409235938551097
979,0.5169816079546058
980,0.530849504687926
981,0.4967419346328173
982,0.48895362469135495
983,0.5098992822235895
984,0.544235385119644
985,0.48715884430757384
986,0.5197037502149452
987,0.5223714472117936
988,0.5287711712809879
989,0.5442555345347554
990,0.5123949520234194
991,0.5022443912723046
992,0.5149317202760916
993,0.509072361586329
994,0.5068656438536661
995,0.5089581772563402
996,0.5196396171394603
997,0.49654360714052775
998,0.5329481600465698
999,0.5370208195098248
1000,0.5147915630980551
