iter,pi_g,true_pi,read_count
1000,0.008763045965122118,0.01,500
1001,0.008142012599357366,0.01,500
1002,0.011553906524104051,0.01,500
1003,0.014437908142855302,0.01,500
1004,0.009497704856363823,0.01,500
1005,0.010123696820849237,0.01,500
1006,0.01771316605550192,0.01,500
1007,0.011403063872809621,0.01,500
1008,0.013512651671975446,0.01,500
1009,0.0052986979553180415,0.01,500
1010,0.00821471806985045,0.01,500
1011,0.013391008865857592,0.01,500
1012,0.024901810762476398,0.01,500
1013,0.00472814019455444,0.01,500
1014,0.015174287704794969,0.01,500
1015,0.008217022752418951,0.01,500
1016,0.014441746598971392,0.01,500
1017,0.0077744300015279875,0.01,500
1018,0.013376640546980272,0.01,500
1019,0.011799899231006853,0.01,500
1020,0.022014268806326585,0.01,500
1021,0.01476986447800867,0.01,500
1022,0.016303209858614918,0.01,500
1023,0.011943301086530345,0.01,500
1024,0.01642815720824258,0.01,500
1025,0.014063606524888222,0.01,500
1026,0.015884922371025366,0.01,500
1027,0.006770097154125148,0.01,500
1028,0.007806526581401497,0.01,500
1029,0.018131707789889356,0.01,500
1030,0.006953507447583608,0.01,500
1031,0.027590047710298073,0.01,500
1032,0.015154052305200293,0.01,500
1033,0.007005391122968445,0.01,500
1034,0.008491154119378268,0.01,500
1035,0.005351392151660496,0.01,500
1036,0.013313992908078486,0.01,500
1037,0.009198180039020988,0.01,500
1038,0.007209395207087746,0.01,500
1039,0.0098609322697613,0.01,500
1040,0.0052446236626478085,0.01,500
1041,0.010957658185218475,0.01,500
1042,0.015022987828710732,0.01,500
1043,0.0074264259986043055,0.01,500
1044,0.031126055756888454,0.01,500
1045,0.00773651345681539,0.01,500
1046,0.0074540029003912186,0.01,500
1047,0.008562254036345206,0.01,500
1048,0.007527821663577855,0.01,500
1049,0.01598756691359146,0.01,500
1050,0.0058754962943716816,0.01,500
1051,0.005762585914147286,0.01,500
1052,0.008389898779631578,0.01,500
1053,0.0068525800113015374,0.01,500
1054,0.010489904429171719,0.01,500
1055,0.013255308461419535,0.01,500
1056,0.00815827814361652,0.01,500
1057,0.007473508933407908,0.01,500
1058,0.015837233001304966,0.01,500
1059,0.010252091898114947,0.01,500
1060,0.018245628112629007,0.01,500
1061,0.009418745556068921,0.01,500
1062,0.010922888913253033,0.01,500
1063,0.024397211584323585,0.01,500
1064,0.01258362361312486,0.01,500
1065,0.015527099423094654,0.01,500
1066,0.0048383843462377184,0.01,500
1067,0.007087224666858597,0.01,500
1068,0.006914093098866775,0.01,500
1069,0.008584083715800626,0.01,500
1070,0.011072665823632569,0.01,500
1071,0.015290358172708147,0.01,500
1072,0.013163046604242197,0.01,500
1073,0.01552834107873165,0.01,500
1074,0.008107168244351507,0.01,500
1075,0.008541436980521101,0.01,500
1076,0.012255699344917503,0.01,500
1077,0.017889610270503665,0.01,500
1078,0.004766960860940566,0.01,500
1079,0.010977237051341645,0.01,500
1080,0.012469812403000144,0.01,500
1081,0.019720119574248747,0.01,500
1082,0.015225997510047188,0.01,500
1083,0.017647060657071608,0.01,500
1084,0.016357743523577786,0.01,500
1085,0.015402825088637011,0.01,500
1086,0.009191661966662103,0.01,500
1087,0.017113401607104,0.01,500
1088,0.007967691854334985,0.01,500
1089,0.01231938711973782,0.01,500
1090,0.011652995383063625,0.01,500
1091,0.00594660569066887,0.01,500
1092,0.01593703470533651,0.01,500
1093,0.009780513901635422,0.01,500
1094,0.012308195904395415,0.01,500
1095,0.01376232172618754,0.01,500
1096,0.010633846397834728,0.01,500
1097,0.007617712445387061,0.01,500
1098,0.017528471493027824,0.01,500
1099,0.00972642153350006,0.01,500
1100,0.005167697180688738,0.01,500
1101,0.007111733601006093,0.01,500
1102,0.010583344850225298,0.01,500
1103,0.005467700870769668,0.01,500
1104,0.013562568047639386,0.01,500
1105,0.009431462681108982,0.01,500
1106,0.010843829790932163,0.01,500
1107,0.01999569927702681,0.01,500
1108,0.010801457078971245,0.01,500
1109,0.009044128905080513,0.01,500
1110,0.0192940243521364,0.01,500
1111,0.005964851339113676,0.01,500
1112,0.014849930634996246,0.01,500
1113,0.023354837700234946,0.01,500
1114,0.011184716222577488,0.01,500
1115,0.014891161428631538,0.01,500
1116,0.005702637162725193,0.01,500
1117,0.017559175674892746,0.01,500
1118,0.014974243729940698,0.01,500
1119,0.022975243370201768,0.01,500
1120,0.006068691352213567,0.01,500
1121,0.0050455956799862044,0.01,500
1122,0.011216095670530862,0.01,500
1123,0.0153413836789014,0.01,500
1124,0.007512007239260751,0.01,500
1125,0.017933552079077493,0.01,500
1126,0.020520199250078076,0.01,500
1127,0.012323191929105252,0.01,500
1128,0.009173491602027925,0.01,500
1129,0.0073557422047827205,0.01,500
1130,0.009219203014868664,0.01,500
1131,0.013849270024748306,0.01,500
1132,0.006465689479951109,0.01,500
1133,0.01092287800016637,0.01,500
1134,0.011204880623240222,0.01,500
1135,0.015918106478821078,0.01,500
1136,0.009022959872619868,0.01,500
1137,0.008189039507056333,0.01,500
1138,0.01040888713127578,0.01,500
1139,0.011609123633275696,0.01,500
1140,0.008813740461670008,0.01,500
1141,0.01014837992618346,0.01,500
