iter,pi_g,true_pi,read_count
1000,0.24487953032370105,0.15,50
1001,0.1498900795771153,0.15,50
1002,0.07811460410196175,0.15,50
1003,0.14227506175933713,0.15,50
1004,0.061781922009858756,0.15,50
1005,0.1633610841679188,0.15,50
1006,0.14367042843472083,0.15,50
1007,0.07936327963171703,0.15,50
1008,0.10179768430546993,0.15,50
1009,0.06925424257188922,0.15,50
1010,0.06726487652577594,0.15,50
1011,0.07584742605294247,0.15,50
1012,0.13437003765676073,0.15,50
1013,0.09035400042949963,0.15,50
1014,0.09589404669820951,0.15,50
1015,0.1259424424140509,0.15,50
1016,0.1398422694188136,0.15,50
1017,0.11946536082151508,0.15,50
1018,0.17781698026560352,0.15,50
1019,0.05673504798809855,0.15,50
1020,0.034261897445690304,0.15,50
1021,0.10692784147335835,0.15,50
1022,0.06856921993698559,0.15,50
1023,0.11197892554924853,0.15,50
1024,0.126395815547663,0.15,50
1025,0.1123797283030119,0.15,50
1026,0.08725473947467184,0.15,50
1027,0.11401999228820428,0.15,50
1028,0.22339175031800507,0.15,50
1029,0.06483953600340775,0.15,50
1030,0.09132535180783238,0.15,50
1031,0.07009849499215318,0.15,50
1032,0.13915130540664497,0.15,50
1033,0.1100068169333829,0.15,50
1034,0.061731833040907305,0.15,50
1035,0.07373516052717947,0.15,50
1036,0.12660230159111488,0.15,50
1037,0.08660330286750512,0.15,50
1038,0.1103964657582876,0.15,50
1039,0.12149424678619179,0.15,50
1040,0.12297465462784497,0.15,50
1041,0.09420433404633116,0.15,50
1042,0.053871922833308064,0.15,50
1043,0.05669013296145806,0.15,50
1044,0.07108007341784853,0.15,50
1045,0.16247881153785299,0.15,50
1046,0.0984065690119608,0.15,50
1047,0.0677957323328676,0.15,50
1048,0.11776948295358562,0.15,50
1049,0.07473083748019473,0.15,50
1050,0.1220145835898508,0.15,50
1051,0.1040196977191379,0.15,50
1052,0.1908093942559734,0.15,50
1053,0.10600564888647505,0.15,50
1054,0.07280213238958994,0.15,50
1055,0.09823832184379762,0.15,50
1056,0.08717087712958535,0.15,50
1057,0.06514231583342615,0.15,50
1058,0.14239236170687772,0.15,50
1059,0.07376071210421518,0.15,50
1060,0.06234175377425749,0.15,50
1061,0.024243838485063417,0.15,50
1062,0.12619382103357157,0.15,50
1063,0.1392656586247541,0.15,50
1064,0.13171957080265503,0.15,50
1065,0.034007638254380225,0.15,50
1066,0.04075334804290114,0.15,50
1067,0.052486243585076794,0.15,50
1068,0.10199316401969238,0.15,50
1069,0.16316276010557437,0.15,50
1070,0.07518614630934277,0.15,50
1071,0.12079110781890127,0.15,50
1072,0.1552305136650834,0.15,50
