iter,pi_g,true_pi,read_count
1000,0.05330899929170388,0.05,500
1001,0.055265693768240004,0.05,500
1002,0.05435876680779265,0.05,500
1003,0.04602507478042083,0.05,500
1004,0.044481373046627776,0.05,500
1005,0.06538032145106033,0.05,500
1006,0.043148718528700836,0.05,500
1007,0.047894957847387225,0.05,500
1008,0.056037809311276,0.05,500
1009,0.05011304749668594,0.05,500
1010,0.04156737656132186,0.05,500
1011,0.054086680605587405,0.05,500
1012,0.048457437168745135,0.05,500
1013,0.04958534251883838,0.05,500
1014,0.0556846413595083,0.05,500
1015,0.04714805050040502,0.05,500
1016,0.0443218254196403,0.05,500
1017,0.053582588351408306,0.05,500
1018,0.05554570689106223,0.05,500
1019,0.03966197898575965,0.05,500
1020,0.04111256402395207,0.05,500
1021,0.03207890665280192,0.05,500
1022,0.05356421931908895,0.05,500
1023,0.04631462417166891,0.05,500
1024,0.04997727157113671,0.05,500
1025,0.04130967198319697,0.05,500
1026,0.058750723815674956,0.05,500
1027,0.04343447476365465,0.05,500
1028,0.03767248485837968,0.05,500
1029,0.040285805983961566,0.05,500
1030,0.049094283024809976,0.05,500
1031,0.03938064785630902,0.05,500
1032,0.07264165572734232,0.05,500
1033,0.054971068850622216,0.05,500
1034,0.03828378322910024,0.05,500
1035,0.04191012853528259,0.05,500
1036,0.03371574566521459,0.05,500
1037,0.05174586190251194,0.05,500
1038,0.04089577864616867,0.05,500
1039,0.046132809796414834,0.05,500
1040,0.04631440441238963,0.05,500
1041,0.05112588141321,0.05,500
1042,0.05494864482608199,0.05,500
1043,0.029627777948797868,0.05,500
1044,0.06727053592324593,0.05,500
1045,0.07681864383169977,0.05,500
1046,0.04011541621580057,0.05,500
1047,0.03941925214283884,0.05,500
1048,0.07702990511044666,0.05,500
1049,0.05368324620767975,0.05,500
1050,0.04481957417974971,0.05,500
1051,0.036844085766830445,0.05,500
1052,0.04389724453118891,0.05,500
1053,0.05716141042138932,0.05,500
1054,0.037888065260951544,0.05,500
1055,0.04590095843054919,0.05,500
