iter,pi_g,true_pi
1000,0.015263642401670802,0.01
1001,0.014206343021700539,0.01
1002,0.052312807702927414,0.01
1003,0.0128846130382228,0.01
1004,0.015139923792610883,0.01
1005,0.015291884564460506,0.01
1006,0.007651881854552239,0.01
1007,0.0598599662891912,0.01
1008,0.047279012453617285,0.01
1009,0.010098526177273217,0.01
1010,0.012868263508382443,0.01
1011,0.011636200601565186,0.01
1012,0.004219212880965494,0.01
1013,0.015015323435442176,0.01
1014,9.8925259463592e-4,0.01
1015,0.012698763380374076,0.01
1016,0.0062410729736977946,0.01
1017,0.017048876032314052,0.01
1018,0.012109298899822806,0.01
1019,0.0315186836006373,0.01
1020,0.02366980765532401,0.01
1021,0.004439286532408639,0.01
1022,0.03406382425317166,0.01
1023,0.009058006636838535,0.01
1024,0.009200055505862196,0.01
1025,0.016560822686407038,0.01
1026,0.010467391454970864,0.01
1027,0.00606941247494782,0.01
1028,0.008526759387096338,0.01
1029,0.04478211806957149,0.01
1030,0.01223727970138317,0.01
1031,0.007610974944675508,0.01
1032,0.01646679871813136,0.01
1033,0.012194698747493822,0.01
1034,0.03772454123495282,0.01
1035,0.012562186720126852,0.01
1036,0.011805635286076189,0.01
1037,0.059148298822503324,0.01
1038,0.005636482770446041,0.01
1039,0.010401596819449646,0.01
1040,0.02434438276954137,0.01
1041,0.0035746088727429738,0.01
1042,0.01589060474549548,0.01
1043,0.02187154382265107,0.01
1044,0.01154698757810189,0.01
1045,0.0052424562597757005,0.01
1046,0.04689636836149188,0.01
1047,0.014325851634515796,0.01
1048,0.01040977107421041,0.01
1049,0.007977029475907662,0.01
1050,0.004111627486366995,0.01
1051,0.0019429641794695654,0.01
1052,0.022726561719391164,0.01
1053,0.020682115701847255,0.01
1054,0.012219906523908546,0.01
1055,0.003915106937083922,0.01
1056,0.02126106995271023,0.01
1057,0.013391210835198635,0.01
1058,0.029723559174379924,0.01
1059,0.013502590994768422,0.01
1060,0.05045030978146431,0.01
1061,0.0044157298195310396,0.01
1062,0.014806507144118521,0.01
1063,0.025382331595998873,0.01
1064,0.007660510885576983,0.01
1065,0.011565074485056115,0.01
1066,0.02816932520660951,0.01
1067,0.005155805565015624,0.01
1068,0.028670868069028542,0.01
1069,0.01939143346299141,0.01
1070,0.008804418504896178,0.01
1071,0.03205212002499859,0.01
1072,0.04302554829434383,0.01
1073,0.01407861820514593,0.01
1074,0.0222670921970325,0.01
1075,0.012972897626826328,0.01
1076,0.009689667930375437,0.01
1077,0.018716876110482117,0.01
1078,7.701359921128575e-4,0.01
1079,0.020947172949760593,0.01
1080,0.008413770624749994,0.01
1081,0.0065903534419620696,0.01
1082,0.019050429292114875,0.01
1083,0.010196620741875193,0.01
1084,0.009448208870767276,0.01
1085,0.029225584884042737,0.01
1086,0.00902179942465438,0.01
1087,0.0018708225658823155,0.01
1088,0.01054629128159808,0.01
1089,0.0035737166782450016,0.01
1090,0.0019103692770574153,0.01
1091,0.03749351703055255,0.01
1092,0.036702307768977885,0.01
1093,0.02457038109416239,0.01
1094,0.012214053759080724,0.01
1095,0.027382551636728477,0.01
1096,0.005020359486052518,0.01
1097,0.02055913542403935,0.01
1098,0.05160649594149912,0.01
1099,0.006326817452716579,0.01
1100,0.0061775633080396195,0.01
1101,0.010599760721973888,0.01
1102,0.01569078922961898,0.01
1103,0.0034815823911756366,0.01
1104,0.019531233111291867,0.01
1105,0.019041354426273055,0.01
1106,0.0023251307298117322,0.01
1107,0.01104531348935906,0.01
1108,0.002112068885438484,0.01
1109,0.0040146909371198474,0.01
1110,0.014199525521360298,0.01
1111,8.404729044658203e-4,0.01
1112,0.0030591823991886124,0.01
1113,0.00376804025555419,0.01
1114,0.008457190766998643,0.01
1115,0.001028996892118858,0.01
1116,0.017375664016204172,0.01
1117,0.006716287977306084,0.01
1118,0.03828597247454145,0.01
1119,0.007289170855373877,0.01
1120,0.001180196087781456,0.01
1121,0.006222052469583385,0.01
1122,0.02403386593037297,0.01
1123,0.01541583175016779,0.01
1124,0.01173906303938767,0.01
1125,0.01608464313071917,0.01
1126,0.06960060036635601,0.01
1127,0.008312306325714775,0.01
1128,0.02337046881229298,0.01
1129,0.018499204317456164,0.01
1130,0.009912660916848299,0.01
1131,0.04833089505119492,0.01
1132,0.022612226990584794,0.01
1133,0.004808389374937021,0.01
1134,0.005999670143660833,0.01
1135,0.011899285164142816,0.01
1136,0.015265150983090493,0.01
1137,0.022201185776136886,0.01
1138,0.0023376875769856894,0.01
1139,0.0031356018815902244,0.01
1140,0.0029555345747792174,0.01
1141,0.05526725286556991,0.01
1142,0.0015259887121717595,0.01
1143,0.014228970681419319,0.01
1144,0.021961337143329273,0.01
1145,0.02108530484014467,0.01
1146,0.0073846661324208605,0.01
1147,0.03786280186514645,0.01
1148,0.04049540678385078,0.01
1149,0.029200285772105226,0.01
1150,0.007273340706900616,0.01
1151,0.03794716261591898,0.01
1152,0.02467112795872548,0.01
1153,0.01946371322090371,0.01
1154,0.001043736456405418,0.01
1155,0.0023136167701326127,0.01
1156,0.012657613081360786,0.01
1157,0.02661610458009568,0.01
1158,0.019575399450763385,0.01
1159,0.029008469494370595,0.01
1160,0.014689269571597774,0.01
1161,0.010867466352586933,0.01
1162,0.01092641840461296,0.01
1163,0.015646065725617622,0.01
1164,0.010232974512933455,0.01
1165,0.005049539364843715,0.01
1166,0.04117308546214035,0.01
1167,0.07340569083503559,0.01
1168,0.021669582729407205,0.01
1169,0.03100324419579535,0.01
1170,0.008281049832388747,0.01
1171,0.041503940448719405,0.01
1172,0.06153099672108613,0.01
1173,0.020736696364336855,0.01
1174,0.00811951821277123,0.01
1175,0.03067711055113659,0.01
1176,0.03366096187163424,0.01
1177,0.00137977747506571,0.01
1178,0.0018307040087255613,0.01
1179,2.818207226845449e-4,0.01
1180,0.0305662207906387,0.01
1181,0.009700215933265267,0.01
1182,0.008201546097967638,0.01
1183,0.012999813563202204,0.01
1184,0.00991123704001075,0.01
1185,0.02291750140327852,0.01
1186,0.01068019855036369,0.01
1187,0.022773152980022252,0.01
1188,0.009275973078962118,0.01
1189,0.0068778029559980036,0.01
1190,0.0218505024649744,0.01
1191,0.02504953722192203,0.01
1192,0.02785778829712438,0.01
1193,0.014836163172584581,0.01
1194,0.0205152122699689,0.01
1195,0.03444859441825627,0.01
1196,0.006665943601042284,0.01
1197,0.02127879436616048,0.01
1198,0.021351008905756204,0.01
1199,0.029887409469053286,0.01
1200,0.023129306535850293,0.01
1201,0.05240993458369858,0.01
1202,0.007467526107832476,0.01
1203,0.008525541111796032,0.01
1204,0.05388145865117482,0.01
1205,0.0027903015078402133,0.01
1206,0.02676555234401249,0.01
1207,0.005886663057444732,0.01
1208,0.006779332262355732,0.01
1209,0.0038308382209458697,0.01
1210,0.039414543789130806,0.01
1211,0.0039805357689154984,0.01
1212,0.019036793736264886,0.01
1213,0.01672888694712175,0.01
1214,0.014052418241995771,0.01
1215,0.003713438820003107,0.01
1216,0.029846489378048038,0.01
1217,0.04292114102282163,0.01
1218,0.005478846289529589,0.01
1219,0.012359936945279882,0.01
1220,0.020955208823772317,0.01
1221,0.015262488765695156,0.01
1222,0.009520835655989027,0.01
1223,0.013463932420185613,0.01
1224,0.0056523176228464875,0.01
1225,0.019691813008842277,0.01
1226,0.0010667262111821157,0.01
1227,0.058001482435044945,0.01
1228,0.014362644395238381,0.01
1229,0.026105842346977173,0.01
1230,0.028746799420921218,0.01
1231,0.01307892576172768,0.01
1232,3.437328557978175e-4,0.01
1233,0.024179796171482672,0.01
1234,0.05593742527643824,0.01
1235,0.032711138319943954,0.01
1236,0.02163544435631183,0.01
1237,0.003868710646431343,0.01
1238,8.203896201742943e-4,0.01
1239,0.05272838317213226,0.01
1240,0.04057143724388163,0.01
1241,0.0360938611563596,0.01
1242,0.01953382002737717,0.01
1243,0.015683851112057636,0.01
1244,0.014083403604229001,0.01
1245,0.019578470167172228,0.01
1246,0.005379180905455223,0.01
1247,0.02162907424375103,0.01
1248,0.012330141545844936,0.01
1249,0.0014917701355763248,0.01
1250,0.021587692232736627,0.01
1251,0.026205206919690537,0.01
1252,0.01877679857135005,0.01
1253,0.026502018101130592,0.01
1254,0.05827433380394388,0.01
1255,0.017774949496546132,0.01
1256,0.011818941157428616,0.01
1257,0.024817784671071944,0.01
1258,0.008237660639963354,0.01
1259,0.015558859968735952,0.01
1260,0.017560478807470543,0.01
1261,0.009241663363095943,0.01
1262,0.044895243543111765,0.01
1263,0.0192544107804949,0.01
1264,0.020646740445820946,0.01
1265,0.013733192473767815,0.01
1266,0.04352393695008417,0.01
1267,0.014757824830561473,0.01
1268,0.014464933936273574,0.01
1269,0.03969935109858198,0.01
1270,0.0017143789276391473,0.01
1271,0.05296915864460147,0.01
1272,0.04582840457618559,0.01
1273,0.004559955875468987,0.01
1274,0.015723624812723373,0.01
1275,0.011890789038202143,0.01
1276,0.04440559989198996,0.01
1277,0.035725886358538926,0.01
1278,0.008903494987464962,0.01
1279,0.017703639427228562,0.01
1280,0.011780526396819866,0.01
1281,0.01519530294215932,0.01
1282,0.018715745192563218,0.01
1283,0.008652431319975248,0.01
1284,0.012812210284684355,0.01
1285,0.006402320201663225,0.01
1286,0.02525157719738233,0.01
1287,0.013887583442067608,0.01
1288,0.029064458097341785,0.01
1289,0.03696868303725006,0.01
1290,0.015801650351719303,0.01
1291,0.0016709903335799183,0.01
1292,0.00805326506214966,0.01
1293,0.005789386682118704,0.01
1294,0.0034911590939417352,0.01
1295,0.005519812230670045,0.01
1296,0.019287566595727917,0.01
1297,0.00291178526513635,0.01
1298,0.004862328862624175,0.01
1299,0.029803716538228022,0.01
1300,0.031927552483514046,0.01
1301,0.025447391608057167,0.01
1302,0.0036883011752576527,0.01
1303,0.005588543294928911,0.01
1304,0.023100081946393094,0.01
1305,0.02215004148221309,0.01
1306,3.382861324681375e-4,0.01
1307,0.03777814449217016,0.01
1308,0.01572695830993526,0.01
1309,0.007890264929575123,0.01
1310,0.0556523251471384,0.01
1311,0.02310898419576265,0.01
1312,0.014390132668381172,0.01
1313,0.0025096317070013047,0.01
1314,0.004289509572625759,0.01
1315,0.02239684614936552,0.01
1316,0.11584986486672758,0.01
1317,0.022285145984245344,0.01
1318,0.02067344456498174,0.01
1319,0.01920695358733487,0.01
1320,0.016891836231808486,0.01
1321,0.005337119994373276,0.01
1322,0.06010220613017476,0.01
1323,0.012354332315822425,0.01
1324,0.0020586055747114124,0.01
1325,0.004147253691231597,0.01
1326,0.010322704886347994,0.01
1327,0.021363246074542847,0.01
1328,0.0074575205259837735,0.01
1329,0.007042431792805615,0.01
